,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.1,90.0,2.07,100.23,99.23,99.45
2,100.35,89.0,1.93,100.23,99.34,99.5
3,100.28,103.0,1.97,100.58,99.42,99.57
4,100.67,86.0,1.93,100.68,99.54,99.66
5,100.6,108.0,1.97,100.78,99.68,99.75
6,100.98,93.0,1.93,100.71,100.03,99.83
7,101.75,37.0,1.97,100.83,100.27,99.93
8,101.4,74.0,2.01,100.93,100.53,100.04
9,101.99,51.0,1.97,101.03,100.66,100.17
10,101.61,70.0,1.97,101.13,100.82,100.28
11,102.45,26.0,1.97,101.23,101.06,100.42
12,101.8,52.0,1.97,101.33,101.23,100.5
13,102.4,35.0,2.07,101.43,101.44,100.57
14,102.08,50.0,1.9,101.53,101.62,100.65
15,102.55,35.0,2.03,99.89,101.81,100.72
16,101.64,10.0,1.62,99.99,101.91,100.77
17,100.94,51.0,2.54,100.09,101.91,100.8
18,101.16,92.0,3.11,99.89,101.85,100.83
19,100.59,66.0,2.11,99.99,101.77,100.82
20,100.97,81.0,2.43,100.09,101.67,100.85
21,100.78,81.0,1.93,100.19,101.59,100.84
22,100.89,79.0,1.93,100.29,101.43,100.82
23,100.94,83.0,1.93,100.39,101.34,100.82
24,100.99,78.0,1.93,100.01,101.2,100.8
25,100.35,48.0,1.93,100.11,101.03,100.78
26,100.73,64.0,1.93,100.21,100.85,100.76
27,100.78,79.0,1.93,100.33,100.76,100.78
28,100.04,50.0,1.92,100.43,100.67,100.79
29,99.89,107.0,2.04,100.53,100.54,100.8
30,99.82,110.0,1.98,100.54,100.46,100.81
31,99.76,111.0,1.98,100.96,100.34,100.79
32,99.94,101.0,1.98,101.06,100.26,100.78
33,100.1,108.0,1.98,101.16,100.18,100.76
34,100.2,106.0,1.98,101.26,100.11,100.73
35,100.28,109.0,1.98,101.73,100.04,100.72
36,100.46,97.0,1.93,101.83,100.05,100.69
37,100.63,101.0,1.93,101.93,100.04,100.69
38,100.73,104.0,1.93,102.03,100.04,100.7
39,100.83,102.0,1.93,102.13,100.12,100.7
40,100.99,98.0,1.93,102.23,100.23,100.69
41,101.16,92.0,1.98,102.33,100.36,100.68
42,101.54,76.0,1.98,102.43,100.54,100.73
43,101.9,72.0,1.98,102.53,100.74,100.78
44,101.84,86.0,1.98,102.32,100.91,100.83
45,102.19,57.0,1.98,102.42,101.11,100.89
46,102.0,53.0,1.98,102.52,101.28,100.98
47,102.38,46.0,1.98,102.62,101.47,101.04
48,102.02,48.0,1.98,103.3,101.61,101.1
49,103.0,5.0,1.72,103.25,101.84,101.15
50,103.97,5.0,1.45,103.33,102.15,101.23
55,102.78,3.0,1.83,103.43,102.33,101.29
57,103.78,3.0,1.64,103.53,102.59,101.36
58,102.87,13.0,1.75,103.63,102.72,101.41
64,103.87,2.0,1.64,103.73,102.92,101.48
65,102.96,8.0,1.75,103.83,103.03,101.53
68,103.96,3.0,1.64,103.93,103.21,101.6
69,103.05,9.0,1.97,104.03,103.32,101.64
74,104.05,1.0,1.64,104.13,103.49,101.69
75,103.4,21.0,1.65,104.23,103.63,101.73
87,104.37,3.0,1.61,104.33,103.77,101.78
88,103.72,2.0,0.75,104.03,103.74,101.82
94,104.69,2.0,1.61,104.13,103.93,101.86
97,103.69,0.0,1.64,104.23,103.92,101.9
98,104.66,3.0,1.64,104.33,104.1,101.95
99,103.75,8.0,1.65,104.43,104.09,101.98
110,104.75,1.0,1.64,104.46,104.27,102.02
111,103.98,2.0,1.1,104.56,104.27,102.07
121,104.98,2.0,1.64,104.41,104.46,102.15
137,103.98,0.0,1.64,104.74,104.45,102.21
143,104.95,4.0,1.64,104.84,104.6,102.3
144,103.98,5.0,1.65,104.94,104.56,102.36
157,104.98,1.0,1.64,105.57,104.69,102.44
158,105.95,4.0,1.32,105.79,104.82,102.54
159,104.8,2.0,1.25,105.89,104.93,102.62
211,105.77,0.0,1.61,106.14,105.04,102.72
212,105.67,51.0,1.87,106.24,105.23,102.83
213,106.05,33.0,1.87,106.34,105.36,102.94
214,105.4,18.0,1.62,106.44,105.5,103.03
217,106.37,3.0,1.61,106.54,105.64,103.16
218,106.75,5.0,1.34,106.94,105.92,103.3
219,106.1,16.0,1.42,107.04,106.04,103.43
236,107.01,2.0,1.55,107.14,106.34,103.58
237,107.36,5.0,1.24,107.24,106.58,103.73
238,106.71,2.0,0.75,107.34,106.66,103.86
242,107.62,3.0,1.55,107.44,106.94,104.01
243,106.97,3.0,1.1,107.46,107.06,104.14
245,107.88,1.0,1.64,107.54,107.28,104.29
265,106.91,1.0,1.64,107.64,107.37,104.42
270,107.82,2.0,1.64,107.75,107.61,104.56
271,106.91,10.0,1.62,107.86,107.66,104.68
274,107.88,3.0,1.61,108.43,107.77,104.82
275,108.23,26.0,1.56,108.95,107.98,104.96
276,109.14,7.0,1.42,108.53,108.19,105.11
277,107.94,2.0,1.84,108.64,108.25,105.23
285,108.85,3.0,1.55,108.75,108.46,105.37
286,107.85,2.0,1.65,108.86,108.48,105.48
