,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.77,128.0,6.26,100.1,99.2,99.45
2,100.28,156.0,6.25,100.2,99.3,99.5
3,99.88,115.0,6.2,100.3,99.34,99.56
4,100.72,130.0,5.63,100.4,99.47,99.66
5,100.2,85.0,2.42,100.5,99.57,99.74
6,100.94,78.0,2.64,100.6,99.91,99.82
7,101.39,101.0,2.3,100.7,100.12,99.91
8,100.85,67.0,2.51,100.97,100.32,100.01
9,101.7,50.0,2.31,101.07,100.43,100.13
10,101.01,40.0,1.78,103.25,100.53,100.23
11,102.0,42.0,2.28,103.45,100.73,100.36
12,101.08,61.0,1.96,103.67,100.86,100.43
13,102.15,66.0,2.62,103.77,101.05,100.5
14,101.59,16.0,1.59,103.87,101.22,100.57
15,102.62,15.0,2.17,104.0,101.41,100.64
16,101.85,10.0,1.74,103.68,101.57,100.7
17,102.77,51.0,2.34,103.8,101.75,100.77
18,101.88,60.0,1.97,103.52,101.8,100.81
20,102.97,28.0,2.44,103.36,102.01,100.85
21,102.09,68.0,1.99,103.46,102.05,100.91
22,102.98,53.0,2.41,103.58,102.25,100.94
23,102.14,34.0,1.96,103.61,102.26,100.95
24,103.1,39.0,2.27,103.68,102.46,100.99
25,102.39,44.0,1.95,103.78,102.48,101.0
26,103.23,21.0,2.0,103.88,102.64,101.04
27,102.39,67.0,1.99,103.98,102.62,101.05
28,103.27,51.0,2.13,104.68,102.76,101.12
29,102.54,24.0,1.91,104.78,102.74,101.18
30,103.5,2.0,1.82,104.88,102.9,101.26
31,102.62,30.0,1.96,104.98,102.86,101.33
32,103.54,40.0,2.1,105.08,103.0,101.38
33,102.68,28.0,1.96,105.18,102.97,101.43
34,103.56,51.0,2.2,105.45,103.11,101.48
35,102.87,18.0,1.88,105.55,103.09,101.5
36,103.77,20.0,2.07,105.65,103.23,101.56
37,102.93,25.0,1.91,106.37,103.2,101.58
38,103.9,20.0,2.01,106.47,103.35,101.64
39,103.18,55.0,1.97,106.31,103.34,101.69
41,103.94,57.0,1.92,106.41,103.48,101.75
