,id,stock,bal,acc,flavour
0,id0,0,10359.02,10359.02,val
1,id1,87,68.49000000001894,11966.610000000019,val
2,id2,24,7362.549999999997,10644.789999999997,val
3,id3,41,5890.229999999999,11497.39,val
4,id4,36,6410.9299999999985,11334.289999999997,val
5,id5,49,4784.679999999995,11485.919999999995,val
6,id6,94,101.07000000000039,12956.509999999998,val
7,id7,50,5000.0,11838.0,val
8,id8,97,43.39000000000023,13309.109999999999,val
9,id9,50,5000.0,11838.0,val
10,id10,50,5000.0,11838.0,val
11,id11,53,4695.63,11943.91,val
12,id12,1,11479.989999999998,11616.749999999998,val
13,id13,58,4155.239999999999,12087.32,val
14,id14,65,3389.35,12278.75,val
15,id15,69,2996.510000000002,12432.95,val
16,id16,61,3820.229999999999,12162.589999999998,val
17,id17,89,778.7700000000007,12950.41,val
18,id18,97,77.58000000000158,13343.300000000001,val
19,id19,63,3633.6299999999987,12249.509999999998,val
20,id20,50,5000.0,11838.0,val
21,id21,50,5000.0,11838.0,val
22,id22,97,98.410000000003,13364.130000000003,val
23,id23,83,737.52000000002,12088.60000000002,val
24,id24,60,3904.1899999999987,12109.789999999997,val
25,id25,50,5000.0,11838.0,val
26,id26,59,4041.4999999999995,12110.339999999998,val
27,id27,97,100.06000000000307,13365.780000000002,val
28,id28,98,11.780000000001735,13414.260000000002,val
29,id29,97,86.13000000000285,13351.850000000002,val
30,id30,97,41.54000000000066,13307.26,val
31,id31,74,2508.6700000000005,12628.91,val
32,id32,59,4024.6400000000012,12093.48,val
33,id33,50,5000.0,11838.0,val
34,id34,97,90.09000000000145,13355.810000000001,val
35,id35,50,5000.0,11838.0,val
36,id36,76,2165.029999999999,12558.789999999997,val
37,id37,97,83.71000000000059,13349.43,val
38,id38,97,97.5800000000005,13363.3,val
39,id39,74,2270.5199999999995,12390.759999999998,val
40,id40,97,70.94000000000314,13336.660000000002,val
41,id41,97,24.599999999999852,13290.32,val
42,id42,98,6.410000000001602,13408.890000000001,val
43,id43,85,647.3500000000261,12271.950000000024,val
44,id44,54,4594.17,11979.21,val
45,id45,61,3730.8899999999985,12073.249999999996,val
46,id46,63,3623.56,12239.439999999999,val
47,id47,96,96.3000000000004,13225.26,val
48,id48,95,62.77999999999827,13054.979999999998,val
49,id49,98,70.78000000000078,13473.26,val
50,id50,52,4797.08,11908.599999999999,val
51,id51,50,5000.0,11838.0,val
52,id52,50,5000.0,11838.0,val
53,id53,93,357.11000000000263,13075.79,val
54,id54,95,266.630000000005,13258.830000000004,val
55,id55,79,1878.9800000000005,12683.02,val
56,id56,52,4797.1,11908.619999999999,val
57,id57,96,68.02000000000157,13196.980000000001,val
58,id58,98,28.23000000000134,13430.710000000001,val
59,id59,85,710.5600000000062,12335.160000000005,val
60,id60,51,4898.55,11873.31,val
61,id61,50,5000.0,11838.0,val
62,id62,50,5000.0,11838.0,val
63,id63,51,4898.55,11873.31,val
64,id64,94,43.950000000002646,12899.390000000001,val
65,id65,50,5000.0,11838.0,val
66,id66,50,5000.0,11838.0,val
67,id67,50,5000.0,11838.0,val
68,id68,63,3640.529999999999,12256.409999999998,val
69,id69,13,8912.549999999996,10690.429999999995,val
70,id70,87,494.59999999999576,12392.719999999994,val
71,id71,43,5127.390000000002,11008.070000000002,val
72,id72,36,6496.569999999995,11419.929999999995,val
73,id73,59,3932.69,12001.529999999999,noise
74,id74,83,1535.5100000000007,12886.59,noise
75,id75,13,8896.34,10674.22,val
76,id76,33,6848.489999999998,11361.569999999998,val
77,id77,61,4665.6699999999955,13008.029999999995,noise
78,id78,30,7067.009999999996,11169.809999999994,val
79,id79,19,8232.599999999986,10831.039999999986,val
80,id80,95,167.21999999999255,13159.419999999991,val
81,id81,83,121.03999999999346,11472.119999999994,val
82,id82,58,4692.549999999999,12624.63,noise
83,id83,94,52.18999999999754,12907.629999999996,val
84,id84,17,8902.379999999994,11227.299999999994,noise
85,id85,39,6177.07,11510.71,val
86,id86,48,5155.619999999998,11720.099999999999,noise
87,id87,52,4711.209999999999,11822.73,val
88,id88,76,1305.5099999999939,11699.269999999993,val
89,id89,47,5332.779999999998,11760.499999999996,val
90,id90,0,10238.34,10238.34,val
91,id91,94,62.979999999990696,12918.41999999999,val
92,id92,93,101.09999999999344,12819.779999999992,val
93,id93,64,3205.55999999999,11958.19999999999,val
94,id94,93,23.829999999990093,12742.50999999999,val
95,id95,96,33.15999999999207,13162.119999999992,val
96,id96,93,117.8000000000045,12836.480000000003,val
97,id97,72,1460.1499999999992,11306.869999999999,val
98,id98,15,8783.179999999995,10834.579999999994,val
99,id99,32,6789.519999999992,11165.839999999993,val
100,id100,0,11009.740000000007,11009.740000000007,lstm
101,id101,0,10388.91999999999,10388.91999999999,lstm
102,id102,0,10113.52,10113.52,lstm
103,id103,0,10228.530000000002,10228.530000000002,lstm
104,id104,0,12082.039999999992,12082.039999999992,lstm
105,id105,0,11893.820000000007,11893.820000000007,lstm
106,id106,0,10292.61,10292.61,lstm
107,id107,0,10810.45,10810.45,lstm
108,id108,0,10134.519999999997,10134.519999999997,lstm
109,id109,76,121.56999999999698,10515.329999999994,lstm
110,id110,0,10167.580000000004,10167.580000000004,lstm
111,id111,74,59.08999999998957,10179.329999999989,lstm
112,id112,0,10096.149999999994,10096.149999999994,lstm
113,id113,0,10086.099999999991,10086.099999999991,lstm
114,id114,0,10171.249999999996,10171.249999999996,lstm
115,id115,13,9431.970000000005,11209.850000000004,lstm
116,id116,0,10428.950000000003,10428.950000000003,lstm
117,id117,0,10199.22,10199.22,lstm
118,id118,0,10021.549999999987,10021.549999999987,lstm
119,id119,0,11417.819999999998,11417.819999999998,lstm
120,id120,0,10303.650000000003,10303.650000000003,lstm
121,id121,0,11462.920000000004,11462.920000000004,lstm
122,id122,0,11290.920000000002,11290.920000000002,lstm
123,id123,0,11275.000000000004,11275.000000000004,lstm
124,id124,0,10379.070000000009,10379.070000000009,lstm
125,id125,0,11061.019999999999,11061.019999999999,lstm
126,id126,0,10408.229999999998,10408.229999999998,lstm
127,id127,0,10251.21,10251.21,lstm
128,id128,0,10250.310000000001,10250.310000000001,lstm
129,id129,0,10282.180000000002,10282.180000000002,lstm
130,id130,0,10083.829999999996,10083.829999999996,lstm
131,id131,0,12590.670000000002,12590.670000000002,lstm
132,id132,0,11941.250000000004,11941.250000000004,lstm
