,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.83,71.0,3.33,100.1,99.2,99.45
2,99.9,88.0,3.19,100.2,99.27,99.49
3,100.4,89.0,3.34,100.86,99.36,99.56
4,100.47,90.0,3.72,100.88,99.46,99.65
5,100.92,79.0,3.58,100.98,99.63,99.74
6,100.84,74.0,1.91,101.83,99.96,99.81
15,101.82,3.0,1.85,101.93,100.21,99.91
16,102.56,40.0,1.79,102.08,100.58,100.04
17,101.58,31.0,1.86,102.18,100.67,100.16
53,102.56,1.0,1.85,103.28,100.92,100.29
54,101.61,52.0,1.93,103.16,101.08,100.41
66,102.59,3.0,1.85,103.26,101.36,100.51
67,101.64,53.0,1.93,103.36,101.53,100.57
75,102.62,0.0,1.85,103.46,101.75,100.66
76,101.89,57.0,1.9,103.56,101.89,100.72
153,102.87,2.0,1.85,102.06,102.08,100.8
154,101.92,23.0,1.84,102.16,102.19,100.85
155,102.9,2.0,1.78,102.26,102.3,100.91
156,102.15,23.0,1.83,102.36,102.26,100.94
157,103.1,0.0,1.08,102.46,102.41,101.02
158,102.24,17.0,1.86,102.56,102.38,101.04
159,103.19,0.0,1.08,102.66,102.54,101.07
160,102.33,14.0,1.86,102.76,102.51,101.09
197,103.31,2.0,1.85,102.86,102.68,101.12
198,102.45,16.0,1.86,102.96,102.66,101.15
201,103.43,3.0,1.85,102.93,102.81,101.18
202,102.68,9.0,1.3,103.03,102.79,101.24
259,103.66,2.0,1.85,103.56,102.96,101.32
260,103.5,11.0,1.7,103.66,103.02,101.4
299,104.48,2.0,1.85,103.31,103.25,101.51
300,103.6,2.0,1.3,103.41,103.3,101.56
301,104.35,11.0,1.9,103.51,103.51,101.64
302,104.69,52.0,1.9,103.59,103.66,101.71
303,104.96,51.0,1.7,103.69,103.92,101.77
304,104.91,72.0,1.7,103.84,104.08,101.85
305,105.16,62.0,1.93,103.94,104.35,101.92
306,105.23,69.0,1.7,104.04,104.53,102.01
307,105.3,66.0,1.7,104.14,104.79,102.11
308,105.37,62.0,1.73,104.12,104.96,102.2
309,105.21,58.0,1.7,104.22,105.13,102.28
310,105.28,60.0,1.9,104.47,105.21,102.36
311,105.53,53.0,1.93,105.1,105.4,102.49
312,106.24,20.0,1.86,105.2,105.59,102.62
313,106.31,54.0,1.73,105.51,105.75,102.76
314,106.64,32.0,1.81,105.61,105.92,102.91
315,106.54,47.0,1.73,105.43,106.08,103.09
316,106.2,39.0,1.9,105.53,106.18,103.23
317,106.36,39.0,1.93,105.6,106.29,103.38
318,106.61,41.0,1.93,105.83,106.42,103.5
319,106.77,41.0,1.9,106.25,106.56,103.64
320,107.52,14.0,1.83,106.35,106.79,103.79
321,106.88,27.0,1.73,106.45,106.95,103.93
322,107.29,32.0,1.83,106.55,107.13,104.08
323,106.92,46.0,1.93,106.65,107.2,104.21
324,107.34,30.0,1.93,106.75,107.3,104.35
325,107.02,47.0,1.93,106.85,107.34,104.47
326,107.63,28.0,1.85,107.15,107.45,104.61
327,108.24,18.0,1.86,107.25,107.65,104.74
328,107.45,12.0,1.62,107.35,107.76,104.84
329,108.13,20.0,1.85,107.45,107.91,104.97
330,107.55,28.0,1.93,107.55,107.99,105.07
331,108.43,16.0,1.88,107.65,108.08,105.21
332,107.82,13.0,1.81,107.76,108.17,105.31
333,108.77,10.0,1.78,107.87,108.32,105.45
334,107.89,8.0,1.28,107.98,108.42,105.56
335,108.57,14.0,1.85,108.09,108.54,105.69
336,108.53,44.0,1.93,108.2,108.69,105.8
337,108.95,28.0,1.93,108.31,108.82,105.94
338,107.97,10.0,1.86,108.65,108.79,106.04
