,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,98.93,40.0,4.47,99.97,99.11,99.43
2,99.51,138.0,4.48,100.18,99.14,99.46
3,99.53,148.0,4.56,100.28,99.14,99.51
4,99.73,150.0,4.55,100.38,99.17,99.59
5,99.44,102.0,4.0,100.25,99.19,99.65
6,99.43,114.0,2.68,100.35,99.38,99.7
7,99.75,137.0,2.7,100.45,99.42,99.76
8,99.65,105.0,1.98,100.55,99.5,99.83
9,99.04,51.0,2.11,102.24,99.34,99.9
10,99.47,105.0,2.6,102.34,99.29,99.97
11,99.09,66.0,1.84,102.83,99.2,100.04
12,99.52,127.0,2.24,102.93,99.26,100.08
13,99.54,123.0,1.95,103.03,99.26,100.1
14,99.24,85.0,1.95,103.13,99.23,100.12
15,99.12,116.0,1.95,102.31,99.17,100.12
16,98.7,57.0,1.86,102.41,99.1,100.11
17,99.2,120.0,2.25,102.51,99.08,100.11
18,98.7,53.0,1.95,102.3,98.98,100.09
19,98.85,112.0,2.08,102.4,98.9,100.05
20,99.14,91.0,1.95,102.5,98.91,100.05
21,99.13,100.0,1.95,102.6,98.88,100.01
22,98.4,22.0,1.73,102.7,98.81,99.94
23,98.44,95.0,2.2,102.8,98.7,99.89
24,97.71,18.0,1.71,102.9,98.52,99.81
25,97.46,42.0,2.33,103.0,98.34,99.74
26,96.97,22.0,2.3,103.1,98.12,99.65
27,96.63,22.0,2.25,103.1,97.91,99.58
28,96.94,50.0,2.16,103.2,97.68,99.52
29,97.23,46.0,1.75,103.17,97.53,99.47
30,96.93,25.0,1.76,103.27,97.34,99.42
31,96.95,44.0,1.8,103.37,97.12,99.34
32,96.5,3.0,1.31,103.29,96.86,99.26
33,96.29,18.0,1.67,103.39,96.65,99.16
34,96.17,12.0,1.31,103.28,96.42,99.05
35,96.19,21.0,1.36,103.38,96.27,98.96
36,96.49,28.0,1.72,103.48,96.17,98.85
37,96.81,28.0,1.8,103.58,96.15,98.77
38,96.0,1.0,0.83,103.68,96.09,98.68
39,96.27,19.0,1.39,103.78,96.02,98.59
40,96.59,23.0,1.67,104.4,95.96,98.5
41,97.01,28.0,1.76,104.5,95.97,98.41
42,96.42,15.0,1.66,104.6,95.92,98.35
43,96.81,22.0,1.67,104.7,95.95,98.3
44,97.14,22.0,1.67,104.8,96.04,98.25
45,96.93,33.0,1.67,104.9,96.12,98.2
46,96.78,1.0,0.38,105.0,96.18,98.19
47,97.44,19.0,1.47,105.27,96.28,98.15
48,97.14,20.0,1.67,105.37,96.31,98.12
49,97.8,17.0,1.67,105.47,96.49,98.06
50,97.77,17.0,1.44,105.57,96.64,98.02
51,97.43,15.0,1.66,105.67,96.72,97.97
52,97.42,8.0,1.31,105.77,96.76,97.94
53,97.69,19.0,1.67,105.85,96.89,97.9
55,98.49,5.0,1.47,105.4,97.06,97.88
56,97.84,8.0,1.54,105.32,97.13,97.84
57,98.14,9.0,1.67,105.42,97.25,97.81
58,98.13,4.0,1.11,105.52,97.38,97.78
59,97.27,2.0,1.16,105.62,97.36,97.73
60,98.27,2.0,1.5,105.72,97.47,97.7
61,98.77,26.0,1.28,105.88,97.57,97.69
62,98.18,8.0,1.66,105.58,97.61,97.66
63,98.77,24.0,1.89,105.68,97.74,97.65
64,99.51,15.0,1.78,105.8,97.95,97.65
65,99.93,57.0,2.02,105.9,98.17,97.66
66,100.2,64.0,2.1,106.0,98.34,97.68
67,100.08,37.0,1.94,106.1,98.56,97.7
68,100.77,15.0,1.47,106.2,98.82,97.74
69,100.45,22.0,1.78,106.3,99.05,97.76
70,101.19,13.0,1.83,106.4,99.44,97.81
71,100.78,9.0,1.38,106.5,99.69,97.85
72,101.54,16.0,1.76,106.6,99.97,97.9
73,101.22,7.0,1.67,104.34,100.27,97.94
74,101.72,35.0,1.94,104.44,100.56,98.01
75,101.68,46.0,1.94,104.49,100.78,98.07
76,102.01,2.0,0.89,104.59,100.99,98.16
77,101.03,38.0,1.84,104.69,101.07,98.23
78,102.14,7.0,1.76,104.79,101.28,98.33
79,101.33,1.0,1.31,104.89,101.34,98.42
