,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.29,92.0,4.63,100.51,99.25,99.46
2,100.38,110.0,4.73,100.61,99.36,99.51
3,100.63,96.0,4.57,100.71,99.47,99.58
4,101.22,64.0,4.03,100.93,99.65,99.69
5,101.34,111.0,2.6,101.78,99.86,99.79
6,101.96,50.0,2.4,102.3,100.3,99.89
7,101.08,108.0,2.64,102.4,100.48,99.98
8,102.15,27.0,2.33,102.5,100.81,100.1
9,101.39,85.0,1.98,102.6,100.88,100.21
10,102.37,49.0,2.53,102.92,101.12,100.34
11,101.67,111.0,1.98,103.02,101.29,100.46
12,102.61,49.0,2.6,103.12,101.52,100.56
13,101.97,110.0,1.98,103.22,101.68,100.62
14,103.18,14.0,2.04,103.32,101.94,100.72
15,102.54,64.0,2.01,103.42,102.07,100.79
16,103.45,16.0,1.93,103.52,102.28,100.88
17,102.83,80.0,1.98,103.62,102.37,100.95
18,103.63,48.0,1.97,103.72,102.62,101.03
19,103.01,51.0,1.87,103.82,102.71,101.07
20,103.99,14.0,1.83,103.94,102.97,101.16
21,103.3,84.0,1.96,104.04,103.06,101.2
22,104.03,39.0,1.99,104.14,103.3,101.24
23,103.8,44.0,1.97,104.24,103.42,101.29
24,104.52,16.0,1.92,104.34,103.68,101.34
25,103.93,23.0,1.75,104.44,103.76,101.39
26,104.66,34.0,1.85,105.48,103.97,101.45
27,104.04,41.0,1.91,105.58,104.03,101.53
28,104.98,5.0,1.75,105.68,104.24,101.63
29,104.44,22.0,1.71,105.19,104.32,101.73
30,105.16,15.0,1.91,105.41,104.54,101.85
31,104.54,26.0,1.75,105.51,104.6,101.92
32,105.35,22.0,1.73,105.61,104.8,102.02
33,104.46,41.0,1.79,105.71,104.84,102.09
34,105.4,17.0,1.98,105.75,105.0,102.16
35,104.78,23.0,1.71,105.85,105.03,102.24
36,105.53,41.0,1.75,105.95,105.19,102.31
37,104.91,36.0,1.96,106.05,105.22,102.39
39,105.84,10.0,1.75,105.73,105.4,102.5
40,104.96,10.0,1.57,105.63,105.4,102.58
41,105.77,19.0,1.75,105.73,105.53,102.67
42,106.01,60.0,1.98,105.83,105.62,102.76
43,105.21,44.0,1.84,105.93,105.69,102.88
44,106.02,27.0,1.93,106.03,105.76,103.01
45,105.21,46.0,1.91,105.96,105.84,103.13
46,106.03,7.0,1.75,106.14,105.9,103.27
47,105.41,58.0,1.85,106.24,105.96,103.43
48,106.22,11.0,1.75,106.34,106.03,103.57
49,105.49,14.0,1.96,106.47,106.09,103.7
50,106.13,49.0,1.96,106.57,106.12,103.81
51,106.6,46.0,1.92,106.67,106.28,103.94
52,105.79,26.0,1.91,106.77,106.28,104.06
53,106.6,15.0,1.71,106.87,106.34,104.19
54,105.91,44.0,1.91,106.97,106.41,104.3
55,106.84,12.0,1.71,107.07,106.49,104.42
56,106.22,33.0,1.96,107.01,106.59,104.52
57,106.74,17.0,1.75,107.11,106.66,104.63
58,107.19,48.0,1.96,107.42,106.84,104.73
59,106.46,24.0,1.57,107.33,106.86,104.84
60,107.19,33.0,1.96,107.43,107.03,104.94
61,106.46,22.0,1.71,107.75,107.06,105.04
62,107.12,41.0,1.96,107.86,107.11,105.14
