,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.3,96.0,4.49,100.1,99.15,99.44
2,99.41,160.0,4.48,100.2,99.17,99.47
3,99.63,160.0,4.52,100.3,99.18,99.52
4,99.74,153.0,4.53,100.4,99.21,99.6
5,99.85,131.0,2.38,100.5,99.27,99.67
6,99.96,136.0,2.32,100.6,99.51,99.73
7,99.88,135.0,2.27,100.7,99.57,99.79
8,99.79,128.0,2.42,100.8,99.67,99.87
9,99.91,133.0,2.22,100.9,99.6,99.95
10,100.13,134.0,1.96,101.0,99.61,100.03
11,100.02,122.0,1.95,101.1,99.61,100.12
12,99.91,120.0,1.95,101.2,99.67,100.16
13,99.89,130.0,1.95,101.3,99.72,100.18
14,100.0,133.0,1.95,101.4,99.76,100.21
15,99.89,117.0,1.95,101.71,99.78,100.23
16,99.87,127.0,1.95,101.15,99.78,100.25
17,99.52,82.0,1.95,101.25,99.74,100.25
18,99.88,99.0,1.94,101.35,99.74,100.25
19,99.71,64.0,1.82,101.45,99.73,100.23
20,100.08,61.0,1.9,101.55,99.75,100.25
21,100.0,59.0,1.82,101.65,99.74,100.22
22,99.8,44.0,1.79,101.75,99.72,100.18
23,100.0,49.0,1.79,101.85,99.73,100.16
24,100.2,42.0,1.79,101.95,99.76,100.12
25,100.3,47.0,1.82,102.05,99.79,100.1
26,100.28,39.0,1.82,102.15,99.83,100.07
27,100.31,26.0,1.61,102.25,99.87,100.08
28,101.06,8.0,1.61,102.35,100.02,100.11
29,100.37,17.0,1.79,102.45,100.07,100.13
30,101.12,8.0,1.58,102.42,100.21,100.17
31,100.29,3.0,1.47,102.88,100.23,100.16
33,101.24,2.0,1.66,102.98,100.35,100.18
34,100.93,24.0,1.71,103.08,100.46,100.18
35,101.8,7.0,1.66,103.18,100.64,100.18
36,101.05,8.0,1.77,103.28,100.72,100.18
37,101.8,4.0,1.51,103.38,100.87,100.18
38,101.49,29.0,1.82,103.48,100.99,100.19
39,102.32,14.0,1.71,103.72,101.19,100.23
40,101.65,4.0,1.47,103.82,101.25,100.24
47,102.59,5.0,1.69,103.92,101.47,100.27
48,101.88,0.0,1.41,104.02,101.55,100.28
49,102.71,3.0,1.53,104.12,101.79,100.35
50,101.83,2.0,1.58,104.22,101.85,100.4
55,102.74,2.0,1.64,104.32,102.03,100.47
56,101.8,4.0,1.69,104.42,102.03,100.52
57,102.84,1.0,1.74,104.8,102.21,100.63
58,101.85,16.0,1.82,104.69,102.21,100.68
59,102.87,2.0,1.72,104.79,102.35,100.76
60,101.99,13.0,1.71,104.89,102.32,100.79
62,102.87,2.0,1.58,104.99,102.44,100.85
63,101.99,19.0,1.71,105.09,102.38,100.89
64,102.91,3.0,1.62,105.19,102.48,100.96
65,102.03,26.0,1.71,105.58,102.41,101.01
66,102.94,0.0,1.61,105.68,102.52,101.08
67,102.35,27.0,1.53,105.39,102.48,101.13
69,103.18,1.0,1.53,105.49,102.62,101.2
70,102.24,23.0,1.77,105.59,102.56,101.25
72,103.18,2.0,1.69,105.69,102.69,101.32
73,102.24,28.0,1.77,106.08,102.63,101.37
74,103.2,1.0,1.66,106.18,102.75,101.44
75,102.34,23.0,1.71,106.28,102.7,101.48
76,103.28,2.0,1.64,106.38,102.83,101.55
77,102.4,19.0,1.77,106.95,102.78,101.6
85,103.29,3.0,1.64,106.94,102.91,101.67
86,102.43,21.0,1.77,107.04,102.86,101.72
87,103.41,1.0,1.68,107.14,102.97,101.79
88,102.42,19.0,1.82,107.59,102.89,101.84
91,103.52,1.0,1.8,107.7,103.02,101.92
92,102.66,18.0,1.71,107.81,102.97,101.98
96,103.65,2.0,1.69,108.33,103.11,102.06
97,103.31,13.0,1.53,108.44,103.12,102.12
98,104.14,0.0,1.01,105.96,103.3,102.2
99,103.42,3.0,1.72,106.06,103.31,102.27
100,104.15,4.0,1.53,105.88,103.48,102.35
101,103.29,28.0,1.14,105.98,103.48,102.41
102,104.23,2.0,1.64,106.08,103.66,102.49
103,103.64,31.0,0.85,106.18,103.68,102.56
104,104.36,0.0,1.42,106.34,103.87,102.64
105,104.02,35.0,1.29,106.44,103.92,102.7
106,104.74,0.0,1.42,106.54,104.13,102.79
107,104.04,31.0,1.01,106.64,104.17,102.85
112,104.9,1.0,1.56,106.82,104.33,102.94
113,104.26,31.0,1.09,106.92,104.34,103.0
115,105.2,3.0,1.64,107.02,104.52,103.09
116,104.63,29.0,1.01,107.12,104.57,103.15
