,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.41,137.0,6.26,100.1,99.26,99.46
2,100.61,178.0,6.25,100.2,99.4,99.52
3,100.55,158.0,6.24,100.3,99.5,99.59
4,101.1,102.0,5.66,100.4,99.66,99.69
5,100.77,118.0,3.4,101.42,99.82,99.78
6,101.99,10.0,2.3,101.52,100.27,99.88
7,100.86,56.0,2.78,101.62,100.42,99.96
11,102.61,1.0,2.08,101.65,100.8,100.09
12,101.22,22.0,2.26,101.75,100.86,100.2
13,103.08,2.0,2.15,101.85,101.17,100.34
14,101.56,18.0,2.33,102.01,101.33,100.46
15,103.48,6.0,2.88,102.11,101.64,100.58
16,101.91,13.0,2.38,102.21,101.77,100.64
17,103.56,16.0,2.87,102.07,102.07,100.75
18,102.32,11.0,2.13,102.17,102.19,100.82
19,103.71,26.0,2.67,102.27,102.48,100.91
20,102.77,12.0,1.88,102.37,102.56,100.98
21,103.81,28.0,2.46,102.47,102.86,101.06
22,102.87,11.0,1.62,102.57,102.89,101.1
23,104.03,27.0,2.34,102.67,103.17,101.2
24,103.09,10.0,1.62,102.77,103.17,101.24
25,104.21,24.0,2.3,102.87,103.44,101.29
26,103.24,13.0,1.63,102.63,103.42,101.33
27,104.33,30.0,2.33,102.73,103.66,101.38
28,103.39,6.0,1.62,102.83,103.64,101.42
29,104.33,32.0,2.22,102.93,103.84,101.47
30,103.45,11.0,1.62,103.03,103.81,101.54
31,104.54,28.0,2.26,103.21,103.99,101.64
32,103.6,7.0,1.62,103.31,103.97,101.72
33,104.6,24.0,2.13,103.41,104.14,101.83
34,103.72,10.0,1.62,103.21,104.11,101.89
35,104.65,23.0,2.11,103.31,104.27,101.98
36,103.71,3.0,1.34,103.25,104.22,102.03
37,104.66,28.0,2.16,103.35,104.36,102.09
38,103.72,7.0,1.34,103.45,104.3,102.15
39,104.7,24.0,2.18,103.55,104.43,102.21
40,103.77,14.0,1.56,103.65,104.37,102.27
41,104.72,19.0,2.16,103.75,104.5,102.36
42,103.8,10.0,1.54,103.82,104.43,102.42
43,104.76,9.0,1.78,103.75,104.55,102.49
44,103.84,11.0,1.54,103.85,104.47,102.54
45,104.79,10.0,1.78,103.78,104.58,102.65
