,id,stock,bal,acc,flavour
0,id0,0,12245.900000000012,12245.900000000012,arb
1,id1,96,86.79000000000252,15091.590000000004,arb
2,id2,100,6.639999999999247,15636.640000000001,arb
3,id3,100,10.179999999998927,15640.18,arb
4,id4,62,4811.580000000003,14502.180000000004,arb
5,id5,97,84.02000000000413,15245.120000000004,arb
6,id6,100,10.799999999998931,15640.800000000001,arb
7,id7,40,7409.979999999999,13661.98,arb
8,id8,97,39.110000000004504,15200.210000000005,arb
9,id9,0,12079.310000000005,12079.310000000005,arb
10,id10,79,2247.550000000009,14595.25000000001,arb
11,id11,0,12962.510000000006,12962.510000000006,arb
12,id12,99,69.60000000000281,15543.300000000003,arb
13,id13,100,10.799999999998931,15640.800000000001,arb
14,id14,100,4.589999999998497,15634.59,arb
15,id15,100,11.400000000000375,15641.400000000001,arb
16,id16,100,10.53999999999894,15640.54,arb
17,id17,100,12.799999999999429,15642.800000000001,arb
18,id18,0,12123.170000000004,12123.170000000004,arb
19,id19,99,61.79999999999943,15535.5,arb
20,id20,0,12151.180000000004,12151.180000000004,arb
21,id21,96,88.73000000000931,15093.53000000001,arb
22,id22,100,6.82000000000005,15636.820000000002,arb
23,id23,0,12130.43,12130.43,arb
24,id24,0,12146.699999999993,12146.699999999993,arb
25,id25,100,3.1800000000005326,15633.180000000002,arb
26,id26,99,82.34999999999627,15556.049999999997,arb
27,id27,100,10.799999999998931,15640.800000000001,arb
28,id28,100,4.940000000000055,15634.940000000002,arb
29,id29,100,11.550000000000097,15641.550000000001,arb
30,id30,98,44.01000000001534,15361.410000000016,arb
31,id31,60,3957.800000000004,13335.800000000003,arb
32,id32,95,71.22000000000475,14919.720000000007,arb
33,id33,0,12155.20000000001,12155.20000000001,arb
34,id34,72,2866.21000000001,14119.81000000001,arb
35,id35,81,48.25000000000682,12708.550000000008,arb
36,id36,0,9989.009999999997,9989.009999999997,arb
37,id37,20,7458.37,10584.369999999999,chart
38,id38,87,40.9899999999985,13639.089999999998,arb
39,id39,84,58.72999999999956,13187.93,arb
40,id40,0,9994.120000000003,9994.120000000003,arb
41,id41,82,29.430000000011603,12846.030000000012,arb
42,id42,85,8.610000000001818,13294.110000000004,arb
43,id43,85,78.01999999999902,13363.52,arb
44,id44,6,9432.460000000001,10370.26,arb
45,id45,84,69.3900000000043,13198.590000000006,arb
46,id46,86,71.47000000000003,13513.27,arb
47,id47,0,10113.030000000004,10113.030000000004,arb
48,id48,29,5653.870000000009,10186.57000000001,arb
49,id49,0,9992.83,9992.83,arb
50,id50,24,6909.56,10660.76,chart
51,id51,86,57.24999999998566,13499.049999999987,arb
52,id52,6,9321.679999999993,10259.479999999992,arb
53,id53,80,65.26999999998836,12569.269999999988,arb
54,id54,20,7454.81,10580.810000000001,chart
55,id55,73,39.370000000006826,11449.270000000008,arb
56,id56,0,9996.980000000007,9996.980000000007,arb
57,id57,0,9995.060000000003,9995.060000000003,arb
58,id58,0,9989.199999999999,9989.199999999999,arb
59,id59,85,105.35000000000774,13390.85000000001,arb
60,id60,84,20.720000000000596,13149.920000000002,arb
61,id61,85,99.94000000001705,13385.440000000019,arb
62,id62,77,70.78000000000736,12105.880000000008,arb
63,id63,79,105.84999999999513,12453.549999999996,arb
64,id64,21,7299.859999999993,10582.159999999993,chart
65,id65,10,8530.980000000023,10093.980000000023,arb
66,id66,0,10144.979999999994,10144.979999999994,arb
67,id67,86,2.4400000000022146,13444.240000000003,arb
68,id68,90,85.39000000000351,14152.390000000005,arb
69,id69,8,9811.419999999984,11061.819999999983,arb
70,id70,91,47.270000000012544,14270.570000000014,arb
71,id71,11,11238.704999999967,12958.004999999968,noise
72,id72,0,10605.35000000001,10605.35000000001,arb
73,id73,51,4839.089999999999,12810.39,arb
74,id74,92,46.2299999999982,14425.829999999998,arb
75,id75,83,6.780000000013786,12979.680000000015,arb
76,id76,91,20.260000000006073,14243.560000000007,arb
77,id77,0,11717.560000000007,11717.560000000007,arb
78,id78,92,85.9899999999941,14465.589999999995,arb
79,id79,79,103.64000000002417,12451.340000000026,arb
80,id80,91,2.4699999999997715,14225.77,arb
81,id81,0,10938.139999999987,10938.139999999987,arb
82,id82,89,0.2899999999945635,13910.989999999996,arb
83,id83,0,10885.540000000012,10885.540000000012,arb
84,id84,53,5313.980000000005,13597.880000000006,noise
85,id85,0,10744.629999999985,10744.629999999985,arb
86,id86,0,10808.69999999999,10808.69999999999,arb
87,id87,2,10603.829999999996,10916.429999999997,arb
88,id88,45,6474.289999999995,13507.789999999997,arb
89,id89,9,9230.760000000031,10637.460000000032,noise
90,id90,91,42.709999999991396,14266.009999999993,arb
91,id91,0,10597.889999999992,10597.889999999992,arb
92,id92,0,10574.809999999996,10574.809999999996,arb
93,id93,0,10817.649999999994,10817.649999999994,arb
94,id94,29,8160.2900000000145,12692.990000000016,noise
95,id95,0,10751.78999999999,10751.78999999999,arb
96,id96,10,8691.240000000018,10254.240000000018,arb
97,id97,25,9254.015000000003,13161.515000000003,noise
98,id98,91,24.219999999996773,14247.519999999999,arb
99,id99,93,27.739999999998318,14563.64,arb
100,id100,0,11338.77999999999,11338.77999999999,lstm
101,id101,0,11585.799999999988,11585.799999999988,lstm
102,id102,0,10199.459999999997,10199.459999999997,lstm
103,id103,0,11437.96,11437.96,lstm
104,id104,0,11640.579999999989,11640.579999999989,lstm
105,id105,0,11621.509999999986,11621.509999999986,lstm
106,id106,0,11344.38999999999,11344.38999999999,lstm
