,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.62,10.0,1.9,100.1,99.28,99.46
2,101.45,28.0,2.4,100.74,99.5,99.53
3,101.98,41.0,2.64,100.71,99.74,99.63
4,100.18,4.0,1.92,100.81,99.81,99.71
5,102.04,1.0,2.84,100.91,100.09,99.83
6,100.97,4.0,1.19,100.96,100.44,99.91
7,102.45,5.0,2.46,101.06,100.75,100.03
8,101.49,4.0,1.1,100.53,101.02,100.14
9,102.68,8.0,2.31,100.63,101.22,100.28
10,101.68,0.0,1.18,100.73,101.39,100.39
11,102.97,10.0,2.4,100.83,101.69,100.54
12,101.99,0.0,1.12,101.1,101.83,100.63
13,103.23,11.0,2.33,101.37,102.01,100.72
14,102.25,0.0,1.12,101.47,102.04,100.8
15,103.51,10.0,2.34,101.57,102.37,100.89
16,102.53,0.0,1.11,101.67,102.42,100.96
17,103.77,10.0,2.33,102.0,102.7,101.05
18,102.77,6.0,1.13,102.43,102.73,101.11
19,103.75,8.0,2.35,102.53,102.96,101.17
20,104.59,22.0,1.98,102.38,103.15,101.28
25,103.3,2.0,2.03,102.48,103.31,101.32
26,104.12,11.0,2.26,102.58,103.42,101.37
27,104.69,14.0,1.81,102.68,103.69,101.44
45,103.69,1.0,1.74,102.78,103.74,101.47
46,104.67,10.0,2.28,102.82,103.98,101.54
47,105.43,21.0,1.96,102.92,104.17,101.62
53,104.35,2.0,1.82,103.02,104.35,101.71
54,105.17,12.0,2.07,103.12,104.49,101.82
55,105.05,17.0,1.8,103.36,104.72,101.93
56,105.17,14.0,1.8,103.46,104.86,102.05
57,105.78,14.0,1.81,104.1,104.98,102.15
58,104.78,6.0,1.12,104.2,105.13,102.24
59,105.56,10.0,1.84,104.13,105.27,102.33
60,106.5,11.0,1.98,104.23,105.45,102.43
66,105.43,2.0,1.81,104.53,105.62,102.52
67,106.14,12.0,1.81,104.63,105.77,102.61
68,106.97,20.0,1.98,104.73,105.92,102.73
75,105.9,2.0,1.81,104.83,106.08,102.84
76,106.85,11.0,1.98,104.93,106.25,102.96
