,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.4,100.0,4.6,99.97,99.16,99.44
2,99.96,138.0,4.48,100.31,99.23,99.48
3,99.87,166.0,4.54,100.88,99.26,99.54
4,100.27,126.0,4.5,100.98,99.34,99.63
5,100.12,133.0,2.08,101.08,99.43,99.71
6,100.52,118.0,2.26,101.18,99.73,99.78
7,100.48,147.0,1.98,101.28,99.85,99.86
8,100.82,127.0,2.18,102.13,100.05,99.96
9,101.72,17.0,1.97,102.23,100.16,100.08
10,101.86,111.0,2.61,102.33,100.34,100.2
11,102.16,80.0,2.01,102.93,100.56,100.33
12,101.57,110.0,1.92,103.03,100.78,100.41
17,102.71,1.0,1.37,103.13,101.06,100.49
18,102.93,59.0,1.87,103.23,101.37,100.58
19,102.5,52.0,1.79,104.39,101.59,100.65
20,103.47,5.0,1.85,104.49,101.92,100.74
21,103.38,72.0,1.84,104.59,102.21,100.82
22,104.2,16.0,1.82,104.69,102.58,100.91
23,103.56,55.0,1.99,104.79,102.85,100.96
25,104.54,2.0,1.8,104.82,103.13,101.07
26,103.95,43.0,1.85,104.92,103.34,101.12
27,104.95,3.0,1.82,105.02,103.62,101.18
28,104.45,34.0,1.91,105.15,103.91,101.25
29,105.42,0.0,1.15,105.3,104.18,101.32
30,104.75,19.0,1.68,105.4,104.36,101.39
35,105.72,2.0,1.71,105.5,104.68,101.47
36,105.14,13.0,1.06,104.63,104.85,101.58
37,105.96,13.0,1.62,104.73,105.11,101.7
38,105.1,9.0,1.28,104.83,105.2,101.81
39,106.01,19.0,2.1,104.93,105.44,101.95
40,105.19,12.0,1.28,104.57,105.5,102.04
41,106.05,24.0,2.05,104.65,105.71,102.16
42,105.14,6.0,1.28,104.75,105.73,102.24
43,106.08,24.0,2.13,104.85,105.89,102.33
44,105.38,15.0,1.79,105.35,105.89,102.42
45,106.12,25.0,1.93,105.45,106.03,102.5
46,105.45,15.0,1.88,105.41,106.0,102.59
47,106.27,8.0,1.83,105.51,106.11,102.71
48,105.45,2.0,1.11,105.61,106.06,102.8
49,106.31,10.0,1.91,105.71,106.18,102.9
50,105.64,11.0,1.82,105.81,106.14,102.98
51,106.46,4.0,1.82,105.91,106.27,103.12
52,106.02,15.0,1.79,106.01,106.27,103.25
53,106.54,5.0,1.71,106.11,106.41,103.39
54,105.87,15.0,1.67,106.21,106.39,103.52
55,106.84,2.0,1.2,106.31,106.54,103.71
56,106.24,12.0,1.59,106.41,106.55,103.85
57,106.91,9.0,1.64,106.51,106.7,104.01
58,106.17,2.0,1.33,106.61,106.69,104.12
59,107.14,0.0,1.71,106.57,106.86,104.26
60,106.4,3.0,1.79,106.67,106.87,104.39
61,107.22,1.0,1.79,106.77,107.03,104.55
62,106.48,2.0,1.64,106.87,107.03,104.68
63,107.45,2.0,1.71,106.97,107.17,104.83
64,106.63,1.0,1.67,107.07,107.18,104.96
65,107.6,1.0,1.71,106.99,107.35,105.11
66,106.9,5.0,1.79,107.09,107.36,105.24
67,107.72,5.0,1.79,107.19,107.51,105.38
68,106.9,1.0,1.56,107.53,107.51,105.5
71,107.87,1.0,1.79,107.63,107.68,105.62
72,107.2,11.0,1.67,107.74,107.69,105.73
73,108.05,5.0,1.79,107.91,107.85,105.85
74,107.58,8.0,1.32,107.1,107.89,105.97
75,107.74,15.0,1.56,107.2,108.02,106.07
76,107.83,17.0,1.64,107.3,108.06,106.17
77,107.785,24.0,1.64,107.4,108.18,106.28
78,108.09,18.0,1.41,107.5,108.23,106.37
79,107.27,4.0,1.79,107.6,108.27,106.45
80,108.24,7.0,1.83,107.71,108.32,106.53
81,107.57,8.0,1.67,107.82,108.39,106.61
82,108.39,0.0,1.07,107.93,108.44,106.69
84,107.72,9.0,1.67,108.04,108.49,106.77
85,108.54,4.0,1.59,108.15,108.54,106.84
86,107.87,10.0,1.59,108.22,108.57,106.91
87,108.54,11.0,1.82,108.33,108.65,106.97
88,107.95,12.0,1.56,108.44,108.66,107.03
89,108.69,3.0,1.64,108.61,108.75,107.09
90,108.1,13.0,1.56,108.72,108.75,107.15
92,108.96,3.0,1.09,108.83,108.92,107.21
93,108.44,8.0,1.56,108.94,108.94,107.28
94,109.11,9.0,1.67,109.05,109.09,107.34
