,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.07,106.0,4.61,100.1,99.22,99.45
2,100.68,95.0,4.51,100.2,99.36,99.51
3,99.96,79.0,4.92,100.55,99.4,99.57
4,100.93,42.0,3.91,100.9,99.55,99.67
5,101.38,100.0,2.49,101.0,99.77,99.77
6,101.67,92.0,2.64,101.1,100.18,99.86
7,101.14,64.0,2.56,101.13,100.36,99.95
8,102.12,12.0,2.02,101.23,100.69,100.07
9,101.14,20.0,1.95,101.25,100.74,100.18
10,102.83,4.0,2.49,101.35,101.02,100.32
11,101.63,17.0,2.27,101.45,101.18,100.44
12,102.9,15.0,2.49,101.55,101.46,100.54
13,101.9,21.0,2.16,101.65,101.58,100.6
14,103.0,21.0,2.32,101.75,101.88,100.69
15,102.0,18.0,2.02,100.35,101.99,100.75
16,103.23,26.0,2.5,100.45,102.18,100.84
17,102.05,4.0,1.42,100.55,102.22,100.89
18,103.08,43.0,2.52,100.65,102.41,100.96
19,103.08,91.0,2.05,100.75,102.51,101.0
20,102.75,58.0,1.95,100.7,102.67,101.07
21,103.08,53.0,1.95,100.8,102.7,101.11
22,103.53,69.0,1.97,100.76,102.89,101.14
23,102.53,12.0,1.56,100.86,102.85,101.17
24,103.4,43.0,2.36,101.05,103.0,101.2
25,103.71,89.0,1.97,101.15,103.07,101.25
26,102.71,6.0,1.56,101.25,103.14,101.27
27,103.69,38.0,2.26,101.35,103.19,101.35
28,102.97,14.0,1.3,101.65,103.28,101.41
29,103.68,35.0,1.95,101.75,103.34,101.49
30,103.99,70.0,1.97,101.8,103.43,101.59
31,103.01,2.0,1.22,101.9,103.46,101.63
32,103.93,33.0,2.11,102.0,103.54,101.7
33,103.81,67.0,1.95,102.5,103.57,101.75
34,103.49,21.0,1.94,102.6,103.67,101.79
35,104.23,35.0,1.97,102.7,103.75,101.86
36,103.23,15.0,1.82,102.41,103.7,101.89
37,104.2,21.0,2.12,102.51,103.85,101.96
38,104.53,66.0,1.97,102.61,103.93,102.04
39,103.55,2.0,1.54,103.11,103.99,102.09
40,104.52,17.0,1.92,103.21,104.07,102.15
41,105.14,72.0,1.97,103.31,104.18,102.22
43,104.05,2.0,1.65,106.27,104.28,102.32
44,105.02,3.0,1.53,106.37,104.39,102.43
45,105.84,42.0,1.72,106.47,104.59,102.56
46,104.85,58.0,2.27,106.57,104.73,102.67
47,105.82,2.0,1.53,106.67,104.89,102.84
48,106.44,63.0,1.89,107.03,105.21,102.98
49,105.46,60.0,1.97,107.29,105.34,103.11
51,106.46,1.0,1.56,107.33,105.53,103.23
52,105.48,56.0,1.97,107.43,105.72,103.34
54,106.61,2.0,1.71,107.53,105.93,103.47
55,105.63,62.0,1.97,107.63,105.98,103.58
56,106.74,5.0,1.67,107.29,106.25,103.7
57,105.77,56.0,1.97,107.39,106.32,103.82
59,106.76,5.0,1.56,107.49,106.41,103.94
60,105.79,53.0,1.95,107.59,106.5,104.03
62,106.79,6.0,1.56,107.95,106.6,104.13
63,105.89,85.0,1.97,108.06,106.54,104.22
65,106.89,3.0,1.56,108.17,106.68,104.32
66,106.61,80.0,1.53,108.28,106.7,104.43
67,107.59,1.0,1.54,108.39,106.91,104.53
68,106.72,57.0,1.97,108.87,106.92,104.63
69,107.71,4.0,1.56,108.98,107.13,104.73
70,106.87,79.0,1.97,109.09,107.14,104.83
71,107.85,6.0,1.56,109.2,107.35,104.93
72,107.03,88.0,1.97,109.31,107.38,105.03
73,108.03,0.0,1.56,109.42,107.6,105.13
74,107.21,89.0,1.97,109.53,107.64,105.23
76,108.21,2.0,1.56,109.57,107.87,105.33
77,107.35,88.0,1.97,109.66,107.92,105.42
78,108.33,2.0,1.56,109.42,108.09,105.53
79,107.58,62.0,1.97,109.53,108.09,105.62
81,108.57,2.0,1.56,109.44,108.28,105.72
82,107.92,44.0,1.62,109.55,108.3,105.83
83,108.92,2.0,1.56,109.66,108.5,105.94
84,108.33,36.0,1.79,110.2,108.55,106.03
85,109.32,3.0,1.56,110.52,108.78,106.16
86,108.57,57.0,1.92,110.63,108.83,106.26
88,109.56,4.0,1.07,110.86,109.06,106.39
89,108.76,59.0,1.92,110.97,109.12,106.49
92,109.76,2.0,1.56,111.08,109.36,106.61
93,109.08,51.0,1.92,111.19,109.44,106.73
98,110.08,1.0,1.07,111.3,109.69,106.85
99,109.33,45.0,1.92,111.49,109.77,106.96
107,110.33,2.0,1.07,111.6,110.01,107.1
108,109.65,39.0,1.71,111.71,110.08,107.21
110,110.64,3.0,1.07,111.82,110.31,107.36
111,109.89,34.0,1.65,111.93,110.37,107.47
118,110.87,7.0,1.38,112.04,110.6,107.6
119,110.22,31.0,1.54,112.15,110.67,107.73
120,111.21,2.0,1.56,112.26,110.92,107.86
121,110.57,10.0,1.41,112.37,111.0,107.97
128,111.56,2.0,1.06,112.48,111.25,108.12
129,110.57,6.0,1.56,112.59,111.3,108.23
131,111.54,2.0,1.54,111.99,111.52,108.34
132,112.06,88.0,1.89,112.1,111.69,108.48
133,111.04,2.0,1.58,112.21,111.83,108.58
136,112.04,0.0,1.56,112.32,111.97,108.69
137,111.27,6.0,1.08,112.43,112.11,108.81
138,112.25,9.0,1.56,112.54,112.25,108.93
140,111.26,6.0,1.56,112.65,112.35,109.05
142,112.26,2.0,1.07,112.76,112.46,109.16
143,111.36,7.0,1.78,112.87,112.54,109.27
144,112.36,2.0,1.56,112.98,112.62,109.38
145,111.46,5.0,1.55,113.09,112.71,109.49
147,112.46,3.0,1.56,113.2,112.8,109.6
150,111.46,3.0,1.38,113.31,112.74,109.71
151,112.45,2.0,1.38,113.42,112.88,109.82
152,112.9,77.0,1.89,113.93,112.97,109.96
153,111.92,15.0,1.56,113.85,113.04,110.06
157,112.9,0.0,1.54,113.62,113.1,110.19
158,111.9,3.0,1.56,113.73,113.16,110.28
161,112.88,2.0,1.54,113.84,113.22,110.4
162,113.27,68.0,1.89,113.95,113.41,110.51
163,112.29,3.0,1.54,114.06,113.4,110.62
164,113.27,1.0,1.54,114.17,113.58,110.73
165,112.3,7.0,1.54,114.28,113.56,110.84
167,113.3,2.0,1.56,113.86,113.74,110.95
169,112.31,4.0,1.56,113.97,113.73,111.05
170,113.3,3.0,1.56,114.08,113.77,111.15
171,112.3,2.0,1.07,114.19,113.81,111.25
173,113.28,1.0,1.54,114.3,113.85,111.35
174,113.67,65.0,1.89,114.13,114.03,111.47
176,112.67,3.0,1.56,114.24,114.01,111.55
177,113.66,6.0,1.56,114.35,114.05,111.66
178,114.02,87.0,1.89,114.46,114.22,111.76
179,113.04,2.0,1.54,114.51,114.2,111.85
181,114.04,1.0,1.56,114.62,114.37,111.94
182,113.04,4.0,1.07,114.73,114.34,112.03
183,114.04,2.0,1.56,114.84,114.51,112.12
186,113.06,2.0,1.54,114.95,114.49,112.21
187,114.06,0.0,1.56,115.06,114.67,112.3
188,113.07,8.0,1.23,115.17,114.65,112.38
193,114.05,3.0,1.54,115.28,114.69,112.46
194,114.45,47.0,1.89,115.39,114.87,112.56
195,113.47,1.0,1.54,115.5,114.85,112.62
196,114.45,0.0,1.54,115.61,114.89,112.72
197,113.8,30.0,1.54,116.08,114.97,112.78
200,114.8,1.0,1.56,116.42,115.05,112.88
201,114.15,114.0,1.89,116.53,115.16,112.95
202,115.13,3.0,1.54,116.64,115.27,113.05
203,114.38,109.0,1.89,116.75,115.4,113.11
204,115.37,3.0,1.56,115.68,115.53,113.21
205,114.75,75.0,1.56,115.79,115.7,113.27
206,115.75,1.0,1.56,115.9,115.87,113.37
207,115.13,65.0,1.34,116.01,115.94,113.44
208,116.13,1.0,1.56,115.92,116.21,113.52
209,115.29,51.0,1.69,116.03,116.29,113.6
211,116.29,2.0,1.56,116.14,116.54,113.68
212,115.76,39.0,1.23,116.25,116.64,113.77
219,116.76,3.0,1.38,116.36,116.9,113.86
220,115.92,23.0,1.07,116.62,116.98,113.95
260,116.91,3.0,1.38,116.73,117.23,114.04
261,116.17,20.0,1.56,116.84,117.31,114.14
263,117.15,1.0,1.54,116.95,117.55,114.24
264,116.47,12.0,1.56,117.06,117.62,114.34
265,117.47,1.0,1.56,117.17,117.85,114.44
266,116.7,3.0,1.07,117.28,117.91,114.54
269,117.7,2.0,1.56,117.39,118.15,114.65
270,116.93,5.0,1.56,117.5,118.21,114.73
272,117.92,1.0,1.38,117.63,118.43,114.85
273,117.18,7.0,1.48,117.74,118.47,114.94
276,118.16,1.0,1.54,117.76,118.69,115.07
277,117.18,3.0,1.38,117.87,118.72,115.16
278,118.1,3.0,1.48,117.88,118.91,115.26
279,118.03,68.0,1.92,117.85,119.0,115.37
280,118.02,62.0,1.92,117.97,119.16,115.46
281,118.67,42.0,1.8,118.09,119.28,115.59
282,117.67,1.0,1.56,118.21,119.38,115.68
283,118.66,4.0,1.56,118.33,119.48,115.81
284,119.0,78.0,1.92,118.45,119.69,115.92
285,118.02,1.0,1.54,118.57,119.7,116.03
288,119.0,1.0,1.54,119.14,119.88,116.14
289,118.2,36.0,1.92,119.26,119.88,116.23
291,119.2,0.0,1.56,119.38,120.08,116.36
292,118.52,28.0,1.9,119.5,120.12,116.46
294,119.52,0.0,1.56,119.62,120.27,116.57
295,118.84,28.0,1.9,119.86,120.35,116.69
297,119.84,1.0,1.38,119.98,120.47,116.81
298,118.94,15.0,1.65,120.1,120.6,116.93
301,119.94,2.0,1.56,120.22,120.73,117.05
302,119.16,7.0,1.17,120.34,120.75,117.17
303,120.16,1.0,1.56,120.35,120.96,117.29
304,119.16,2.0,1.38,120.47,120.98,117.41
305,120.29,2.0,1.69,120.59,121.19,117.53
306,119.64,17.0,1.74,120.71,121.23,117.63
307,120.64,0.0,1.16,121.13,121.44,117.77
308,119.88,18.0,1.92,121.41,121.48,117.88
309,120.87,4.0,1.56,121.37,121.68,118.02
310,119.9,19.0,1.85,121.49,121.69,118.12
311,121.11,1.0,1.77,121.61,121.91,118.26
312,120.42,16.0,1.92,121.73,121.96,118.37
313,121.42,0.0,1.26,121.85,122.19,118.51
314,120.63,12.0,1.43,121.97,122.24,118.62
315,121.67,1.0,1.6,122.23,122.49,118.76
316,120.95,19.0,1.77,122.35,122.56,118.86
317,122.0,0.0,1.32,122.7,122.8,119.0
318,121.21,16.0,1.82,122.82,122.86,119.1
319,122.38,2.0,1.73,123.08,123.11,119.24
320,121.46,17.0,1.71,123.5,123.17,119.34
327,122.76,2.0,1.86,123.62,123.46,119.48
328,121.76,8.0,1.75,123.74,123.52,119.58
329,123.18,3.0,1.98,123.86,123.8,119.73
330,121.88,4.0,1.31,125.39,123.85,119.83
332,123.55,3.0,2.05,125.51,124.14,119.98
333,122.81,75.0,2.17,125.63,124.25,120.09
334,124.2,2.0,1.95,125.75,124.58,120.24
335,123.36,41.0,2.37,125.85,124.72,120.36
336,124.75,0.0,1.55,126.17,125.07,120.52
337,123.69,26.0,2.25,126.29,125.2,120.64
338,125.34,1.0,2.21,126.41,125.59,120.81
339,124.11,7.0,1.61,126.99,125.72,120.93
345,125.87,2.0,2.14,127.11,126.13,121.1
346,124.64,8.0,1.95,127.47,126.28,121.23
361,126.49,2.0,2.23,127.5,126.74,121.42
362,124.77,3.0,2.1,127.62,126.86,121.55
384,127.08,4.0,2.69,127.74,127.29,121.73
385,125.17,6.0,2.47,127.86,127.39,121.87
386,127.54,2.0,2.93,127.98,127.81,122.05
387,125.54,2.0,2.56,128.1,127.89,122.21
390,127.99,3.0,3.01,128.23,128.32,122.4
393,125.88,3.0,2.67,128.61,128.37,122.54
395,128.42,1.0,3.1,128.74,128.8,122.75
397,126.21,4.0,2.77,128.87,128.83,122.89
398,128.9,2.0,3.25,128.74,129.26,123.1
400,126.53,4.0,2.93,128.87,129.26,123.25
