,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.94,158.0,6.26,100.1,99.21,99.45
2,100.34,167.0,6.25,100.2,99.32,99.5
3,100.25,180.0,6.21,100.3,99.39,99.56
4,100.98,86.0,5.64,100.4,99.54,99.66
5,100.5,117.0,3.38,100.5,99.67,99.75
6,101.11,110.0,2.22,100.6,100.03,99.83
7,101.39,80.0,2.24,100.7,100.24,99.92
8,100.8,40.0,2.26,100.86,100.44,100.02
9,101.8,47.0,2.45,100.96,100.56,100.14
10,101.27,74.0,1.91,101.06,100.69,100.24
11,102.09,40.0,2.26,101.16,100.9,100.37
12,101.16,69.0,1.91,101.26,101.02,100.44
13,102.39,28.0,2.44,101.36,101.22,100.51
14,101.46,50.0,1.98,101.63,101.34,100.57
15,102.43,37.0,2.25,101.73,101.48,100.64
16,101.52,56.0,1.91,101.83,101.58,100.69
17,102.45,65.0,2.37,101.93,101.71,100.75
18,101.74,58.0,1.91,102.03,101.74,100.79
19,102.57,60.0,2.1,102.13,101.92,100.82
20,101.97,45.0,1.91,102.5,101.94,100.87
21,102.94,4.0,2.01,102.6,102.11,100.9
22,102.25,65.0,1.91,102.7,102.13,100.91
23,103.1,7.0,1.82,102.8,102.32,100.95
24,102.36,35.0,1.91,102.9,102.32,100.96
25,103.34,2.0,1.58,103.0,102.51,101.0
26,102.79,60.0,1.82,103.1,102.55,101.02
27,103.28,72.0,1.91,103.2,102.73,101.09
28,103.52,29.0,1.85,103.3,102.84,101.17
29,102.97,102.0,1.89,103.4,102.96,101.24
30,103.85,9.0,1.65,103.45,103.09,101.33
31,103.3,44.0,1.86,103.55,103.22,101.38
32,104.01,18.0,1.91,103.65,103.33,101.45
33,103.65,61.0,1.89,103.75,103.47,101.5
34,104.15,30.0,1.91,103.85,103.58,101.55
35,103.55,12.0,1.86,103.95,103.7,101.6
36,104.2,56.0,1.89,104.05,103.79,101.65
37,103.65,71.0,1.85,104.15,103.88,101.71
38,104.27,63.0,1.91,104.25,103.98,101.79
39,104.01,18.0,1.85,104.35,104.03,101.85
40,104.63,39.0,1.91,104.45,104.2,101.92
41,104.08,40.0,1.85,104.55,104.22,101.97
42,104.53,48.0,1.91,105.03,104.34,102.08
43,105.41,16.0,1.85,105.1,104.48,102.2
44,104.53,54.0,1.97,105.2,104.57,102.3
45,105.12,44.0,1.91,105.3,104.67,102.42
46,104.21,5.0,1.41,105.4,104.74,102.55
48,105.12,64.0,2.12,105.5,104.83,102.67
49,104.91,57.0,1.91,105.55,104.96,102.79
50,105.41,66.0,1.89,105.52,105.07,102.89
51,104.58,37.0,1.91,105.4,105.13,102.98
52,105.46,34.0,1.85,105.5,105.21,103.09
53,104.91,32.0,1.91,105.6,105.29,103.19
54,105.76,22.0,1.85,105.7,105.41,103.3
55,104.84,15.0,1.57,105.8,105.35,103.39
56,105.75,14.0,1.85,105.9,105.47,103.49
57,104.89,12.0,1.85,106.0,105.45,103.58
58,105.68,52.0,1.91,105.82,105.6,103.67
59,105.47,81.0,1.89,104.28,105.64,103.75
60,105.0,56.0,1.91,104.38,105.65,103.83
61,105.58,69.0,1.91,104.48,105.67,103.91
62,105.08,43.0,1.91,104.58,105.72,103.99
63,105.48,43.0,1.85,104.68,105.72,104.06
64,105.08,100.0,1.91,104.78,105.74,104.14
65,105.56,40.0,1.89,104.88,105.72,104.2
