,id,stock,bal,acc,flavour
0,id0,99,84.5900000000035,13769.360000000002,val
1,id1,99,86.18999999999937,13770.959999999997,val
2,id2,43,5827.819999999997,11771.709999999995,val
3,id3,96,7.760000000002492,13277.84,val
4,id4,87,1360.0500000000018,13386.06,val
5,id5,58,3421.719999999997,11439.059999999996,val
6,id6,1,9892.989999999998,10031.219999999998,val
7,id7,17,7864.619999999995,10214.529999999995,val
8,id8,3,9681.44,10096.130000000001,val
9,id9,8,9080.45,10186.29,val
10,id10,21,7471.159999999996,10373.989999999996,chart
11,id11,14,8415.379999999994,10350.599999999993,val
12,id12,10,8916.099999999999,10298.399999999998,chart
13,id13,16,8408.600000000002,10620.280000000002,val
14,id14,1,9889.560000000001,10027.79,val
15,id15,13,8441.010000000002,10238.000000000002,val
16,id16,42,4730.610000000002,10536.270000000002,val
17,id17,4,9580.310000000001,10133.230000000001,val
18,id18,22,7335.959999999998,10377.019999999999,chart
19,id19,2,9783.910000000002,10060.37,val
20,id20,19,8014.320000000003,10640.690000000002,val
21,id21,3,9702.16,10116.85,val
22,id22,16,8408.600000000002,10620.280000000002,val
23,id23,13,8523.059999999996,10320.049999999996,val
24,id24,31,6539.509999999998,10824.64,val
25,id25,7,9175.739999999994,10143.349999999995,val
26,id26,4,9606.160000000002,10159.080000000002,val
27,id27,48,4403.479999999997,11038.519999999997,val
28,id28,5,9457.54,10148.69,val
29,id29,0,9999.479999999996,9999.479999999996,val
30,id30,1,9906.129999999996,10044.359999999995,val
31,id31,28,6527.990000000002,10398.43,val
32,id32,0,10000.419999999995,10000.419999999995,val
33,id33,0,10004.989999999994,10004.989999999994,val
34,id34,1,9894.240000000002,10032.470000000001,val
35,id35,0,10011.699999999999,10011.699999999999,val
36,id36,6,9406.62,10236.0,val
37,id37,96,266.3899999999987,13536.469999999998,val
38,id38,99,96.14000000000004,13780.909999999998,val
39,id39,94,504.75999999999493,13498.379999999994,val
40,id40,100,1.989999999999597,13824.989999999998,val
41,id41,97,201.8699999999979,13610.179999999997,val
42,id42,99,16.029999999998353,13700.799999999997,val
43,id43,68,3153.5099999999984,12553.149999999998,val
44,id44,100,9.329999999999316,13832.329999999998,val
45,id45,99,60.32000000000188,13745.09,val
46,id46,100,6.109999999999502,13829.109999999997,val
47,id47,50,5000.0,11911.5,val
48,id48,77,2223.08,12866.789999999999,val
49,id49,94,350.1800000000012,13343.8,val
50,id50,99,28.000000000000625,13712.769999999999,val
51,id51,100,7.319999999998004,13830.319999999996,val
52,id52,100,8.819999999998345,13831.819999999996,val
53,id53,99,37.09000000000124,13721.86,val
54,id54,99,37.109999999999516,13721.879999999997,val
55,id55,92,701.8799999999981,13419.039999999997,val
56,id56,99,6.6499999999979025,13691.419999999996,val
57,id57,67,3250.3899999999994,12511.8,val
58,id58,11,11375.240000000002,12895.770000000002,val
59,id59,50,5000.0,11911.5,val
60,id60,99,42.709999999999766,13727.479999999998,val
61,id61,1,10205.28000000003,10343.51000000003,val
62,id62,99,90.0099999999987,13774.779999999997,val
63,id63,97,5.520000000000138,13413.83,val
64,id64,98,96.93999999999711,13643.479999999996,val
65,id65,99,1.9699999999977251,13686.739999999996,val
66,id66,100,0.9599999999996385,13823.959999999997,val
67,id67,5,10500.729999999994,11191.879999999994,val
68,id68,1,10889.540000000017,11027.770000000017,val
69,id69,53,4248.249999999997,11574.439999999997,val
70,id70,53,4582.360000000005,11908.550000000005,val
71,id71,45,5498.209999999998,11718.559999999998,val
72,id72,34,7216.180000000001,11916.0,noise
73,id73,44,5615.699999999999,11697.82,val
74,id74,9,9265.560000000001,10509.630000000001,val
75,id75,59,3652.7699999999977,11808.339999999997,val
76,id76,20,8067.98,10832.58,val
77,id77,35,6526.999999999996,11365.049999999996,val
78,id78,31,7004.979999999986,11290.109999999986,val
79,id79,12,9954.590000000002,11613.350000000002,noise
80,id80,20,8032.430000000003,10797.030000000002,val
81,id81,19,8175.409999999999,10801.779999999999,val
82,id82,32,6785.030000000005,11208.390000000005,val
83,id83,56,4027.2600000000057,11768.140000000005,val
