,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.39,93.0,4.63,100.1,99.26,99.46
2,100.53,126.0,4.82,100.2,99.39,99.51
3,100.53999999999999,122.0,4.68,100.3,99.49,99.58
4,100.92,92.0,2.22,100.4,99.64,99.68
5,100.79,105.0,2.32,100.5,99.8,99.77
6,101.47,47.0,1.96,100.6,100.2,99.86
7,101.58,77.0,2.41,102.49,100.43,99.96
8,102.51,25.0,2.29,102.59,100.8,100.09
9,102.72,108.0,2.31,102.99,101.01,100.23
10,102.42,143.0,2.09,103.09,101.25,100.36
11,103.42,4.0,1.39,103.19,101.59,100.52
12,103.93,42.0,2.05,103.29,101.94,100.64
13,103.25,96.0,2.16,103.4,102.21,100.73
14,104.2,15.0,1.97,103.5,102.58,100.85
15,104.49,45.0,1.82,103.6,102.94,100.96
16,104.63,48.0,1.78,103.7,103.32,101.07
17,104.9,40.0,1.78,103.8,103.66,101.18
18,104.12,68.0,1.9,103.9,103.91,101.27
19,105.04,25.0,2.37,104.0,104.16,101.35
20,104.83,56.0,1.88,104.1,104.37,101.46
21,105.11,60.0,1.97,104.46,104.64,101.54
22,105.22,33.0,1.78,104.46,104.82,101.61
23,105.17,28.0,1.65,104.56,104.94,101.69
24,105.43,24.0,1.79,104.66,105.16,101.76
25,105.17,21.0,1.59,104.77,105.26,101.84
26,105.52,18.0,1.95,104.87,105.36,101.92
27,105.31,20.0,1.26,104.97,105.43,102.03
28,106.05,22.0,1.97,105.07,105.54,102.16
29,105.27,8.0,1.11,104.81,105.66,102.27
30,105.63,40.0,1.93,104.91,105.72,102.4
31,105.72,50.0,1.97,105.01,105.81,102.5
32,105.21,31.0,1.97,105.62,105.82,102.6
33,106.21,3.0,1.96,105.49,105.92,102.7
34,105.29,13.0,1.97,105.59,105.93,102.77
35,106.17,22.0,1.97,105.69,106.0,102.88
36,105.77,40.0,1.97,105.79,106.06,102.96
37,106.69,10.0,1.78,105.89,106.18,103.08
38,105.72,19.0,1.9,105.99,106.22,103.19
39,106.61,16.0,1.88,106.06,106.28,103.3
40,105.72,12.0,1.78,106.16,106.32,103.39
41,106.64,16.0,1.88,106.26,106.42,103.49
42,106.4,35.0,1.92,105.32,106.49,103.63
43,105.73,37.0,1.99,105.41,106.54,103.75
44,106.3,41.0,1.92,105.51,106.55,103.89
45,106.06,46.0,1.93,105.61,106.63,104.03
46,106.01,40.0,1.7,105.71,106.61,104.2
47,106.26,28.0,1.7,105.81,106.66,104.34
48,106.21,43.0,1.9,105.91,106.61,104.49
49,106.81,18.0,1.85,106.01,106.72,104.61
53,105.88,14.0,1.9,106.11,106.65,104.73
54,106.88,3.0,1.64,106.21,106.77,104.87
55,105.95,17.0,1.97,106.14,106.7,104.98
56,106.95,2.0,1.24,106.24,106.76,105.11
57,106.05,8.0,1.97,106.26,106.79,105.22
58,107.05,2.0,1.24,106.36,106.86,105.34
59,106.08,3.0,1.88,106.46,106.86,105.45
60,106.84,32.0,1.97,106.56,106.94,105.56
61,106.97,28.0,1.92,106.76,107.01,105.67
62,107.22,10.0,1.92,106.86,107.11,105.76
63,106.44,20.0,1.04,106.96,107.07,105.83
65,107.44,0.0,1.6,107.06,107.23,105.93
66,106.7,45.0,1.97,107.16,107.21,106.0
67,107.58,21.0,1.97,107.26,107.37,106.07
68,106.84,33.0,1.62,107.36,107.36,106.14
71,107.74,15.0,1.97,107.46,107.53,106.21
72,107.0,23.0,1.4,107.56,107.52,106.26
74,107.89,15.0,1.9,107.17,107.7,106.33
75,107.15,14.0,1.88,107.27,107.73,106.38
76,108.15,0.0,1.05,107.37,107.85,106.46
77,107.44,17.0,1.97,107.47,107.87,106.51
78,108.33,14.0,1.97,107.57,108.06,106.58
79,107.45,15.0,1.97,107.86,108.06,106.63
80,108.45,0.0,1.64,107.97,108.24,106.69
81,107.97,14.0,1.97,108.08,108.28,106.75
82,108.9,10.0,1.88,108.19,108.49,106.82
83,108.13,8.0,1.97,108.3,108.53,106.88
84,109.13,0.0,1.05,108.41,108.74,106.95
85,108.42,7.0,1.97,108.52,108.79,107.01
86,109.39,6.0,1.71,108.67,109.01,107.08
87,108.99,23.0,1.97,108.78,109.09,107.15
88,109.91,2.0,1.92,108.98,109.34,107.24
89,109.03,9.0,1.97,109.09,109.41,107.31
90,109.95,19.0,1.96,109.2,109.66,107.4
91,109.35,12.0,1.97,109.31,109.75,107.46
92,110.35,6.0,1.97,109.42,109.99,107.56
93,109.57,9.0,1.97,109.53,110.06,107.63
94,110.57,2.0,1.96,109.64,110.3,107.73
95,109.65,6.0,1.6,109.75,110.35,107.79
96,110.62,8.0,1.96,109.86,110.57,107.89
97,109.7,4.0,1.88,109.97,110.6,107.95
98,110.7,5.0,1.97,110.08,110.77,108.05
99,109.73,3.0,1.71,110.19,110.75,108.11
100,110.73,3.0,1.6,110.3,110.92,108.2
101,111.35,25.0,1.92,110.53,111.06,108.31
102,110.84,36.0,1.78,110.73,111.21,108.4
103,111.76,9.0,1.96,110.84,111.35,108.51
104,111.15,36.0,1.78,110.95,111.51,108.61
105,111.89,14.0,1.92,111.06,111.64,108.72
106,111.67,39.0,1.78,111.23,111.84,108.83
107,112.4,22.0,1.93,111.48,112.02,108.94
108,111.8,37.0,1.78,111.59,112.23,109.06
109,112.54,14.0,1.92,112.01,112.41,109.17
