,id,stock,bal,acc,flavour
0,id0,100,74.11999999999995,16238.119999999999,val
1,id1,100,70.3599999999978,16234.359999999995,val
2,id2,0,11486.399999999992,11486.399999999992,arb
3,id3,97,399.6900000000003,16078.769999999999,val
4,id4,100,76.2499999999996,16240.249999999998,val
5,id5,92,892.42,15763.3,val
6,id6,101,4.449999999998852,16330.089999999998,val
7,id7,100,62.259999999998016,16226.259999999997,val
8,id8,101,7.619999999997162,16333.259999999997,val
9,id9,100,91.22999999999847,16255.229999999996,val
10,id10,100,68.51999999999741,16232.519999999995,val
11,id11,0,11733.460000000003,11733.460000000003,arb
12,id12,100,92.12999999999846,16256.129999999997,val
13,id13,100,68.51999999999741,16232.519999999995,val
14,id14,86,223.61000000000317,14124.650000000001,val
15,id15,0,9891.090000000006,9891.090000000006,val
16,id16,84,120.89000000000954,13698.650000000009,val
17,id17,12,8691.310000000009,10630.990000000009,chart
18,id18,2,9695.010000000006,10018.290000000006,val
19,id19,7,9195.77000000001,10327.25000000001,chart
20,id20,44,4419.700000000002,11531.86,val
21,id21,2,9715.520000000002,10038.800000000003,val
22,id22,30,6100.0300000000025,10949.230000000003,val
23,id23,0,9895.120000000004,9895.120000000004,val
24,id24,67,1379.4600000000066,12209.340000000006,val
25,id25,2,9699.290000000008,10022.570000000009,val
26,id26,2,9699.080000000007,10022.360000000008,val
27,id27,0,9885.85,9885.85,val
28,id28,2,9715.830000000002,10039.110000000002,val
29,id29,16,7890.590000000002,10476.830000000002,val
30,id30,0,9886.990000000005,9886.990000000005,val
31,id31,3,9472.060000000005,9956.980000000005,val
32,id32,8,9096.94000000001,10390.060000000009,chart
33,id33,6,9187.070000000007,10156.910000000007,val
34,id34,0,9885.390000000005,9885.390000000005,val
35,id35,0,9892.610000000004,9892.610000000004,val
36,id36,4,9524.09,10170.65,val
37,id37,1,9804.420000000004,9966.060000000003,val
38,id38,56,2475.8000000000084,11527.640000000009,val
39,id39,0,9883.880000000001,9883.880000000001,val
40,id40,19,7535.560000000003,10606.720000000003,val
41,id41,1,9788.940000000006,9950.580000000005,val
42,id42,2,9716.840000000004,10040.120000000004,val
43,id43,3,9594.470000000007,10079.390000000007,val
44,id44,0,9886.010000000002,9886.010000000002,val
45,id45,2,9726.09,10049.37,val
46,id46,0,9885.239999999998,9885.239999999998,val
47,id47,3,9593.150000000003,10078.070000000003,val
48,id48,50,5000.0,13082.0,val
49,id49,101,9.069999999999624,16334.71,val
50,id50,101,15.870000000001568,16341.51,val
51,id51,101,16.169999999999007,16341.809999999998,val
52,id52,100,67.07999999999589,16231.079999999994,val
53,id53,101,14.29999999999876,16339.939999999999,val
54,id54,50,5000.0,13082.0,val
55,id55,101,20.5799999999999,16346.22,val
56,id56,100,85.54000000000222,16249.54,val
57,id57,90,1040.2899999999977,15587.889999999996,val
58,id58,101,25.239999999999753,16350.88,val
59,id59,101,9.21000000000069,16334.85,val
60,id60,50,5000.0,13082.0,val
61,id61,101,16.37999999999873,16342.019999999999,val
62,id62,100,96.10999999999933,16260.109999999997,val
63,id63,88,1839.5400000000006,16063.86,val
64,id64,64,4756.030000000001,15100.99,val
65,id65,100,89.42999999999864,16253.429999999997,val
66,id66,101,14.640000000000583,16340.28,val
67,id67,101,25.97000000000125,16351.61,val
68,id68,101,11.380000000000962,16337.02,val
69,id69,101,15.649999999999977,16341.289999999999,val
70,id70,101,20.090000000000003,16345.73,val
71,id71,47,6172.539999999992,13769.619999999992,val
72,id72,64,3618.180000000001,13963.14,val
73,id73,101,25.57000000000008,16351.21,val
74,id74,100,92.3399999999999,16256.339999999998,val
75,id75,26,7374.090000000001,11576.73,val
76,id76,33,6693.099999999997,12027.219999999998,val
77,id77,32,7950.150000000014,13122.630000000014,noise
78,id78,33,6684.140000000008,12018.260000000007,val
79,id79,65,3542.6399999999976,14049.239999999996,val
80,id80,26,7389.149999999992,11591.789999999992,val
81,id81,33,6378.109999999996,11712.229999999996,val
82,id82,47,5317.489999999996,12914.569999999996,val
83,id83,35,6473.210000000001,12130.61,val
84,id84,43,5692.549999999997,12643.069999999996,val
85,id85,58,4179.33,13554.449999999999,val
86,id86,21,7883.290000000008,11277.730000000007,val
87,id87,80,1345.3699999999963,14276.569999999996,val
88,id88,48,5176.719999999996,12935.439999999995,val
89,id89,53,4618.310000000016,13185.230000000016,noise
90,id90,22,8490.149999999983,12046.229999999983,noise
91,id91,25,8514.300000000014,12555.300000000014,noise
92,id92,51,5299.189999999999,13542.829999999998,noise
93,id93,36,6371.039999999997,12190.079999999996,val
94,id94,49,5103.830000000001,13024.19,val
95,id95,46,5411.910000000012,12847.350000000011,val
96,id96,37,6278.440000000008,12259.120000000006,val
97,id97,8,10171.750000000011,11464.87000000001,noise
98,id98,47,5305.52,12902.599999999999,val
99,id99,89,65.33000000000743,14451.290000000006,val
100,id100,0,11466.005,11466.005,lstm
101,id101,0,11364.35,11364.35,lstm
102,id102,0,10137.284999999993,10137.284999999993,lstm
103,id103,85,44.9199999999869,13784.319999999987,lstm
