,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.88,140.0,6.26,100.1,99.21,99.45
2,100.09,176.0,6.25,99.98,99.3,99.5
3,100.25,134.0,6.21,100.08,99.37,99.56
4,100.44,147.0,5.63,100.18,99.47,99.65
5,100.6,114.0,3.44,100.28,99.61,99.74
6,100.7,143.0,2.19,100.38,99.93,99.81
7,101.24,76.0,2.15,100.3,100.12,99.9
8,101.24000000000001,91.0,2.38,100.4,100.36,100.01
9,101.49,65.0,2.16,100.5,100.44,100.13
10,101.55,65.0,1.91,100.6,100.59,100.24
11,101.91,76.0,1.91,100.4,100.78,100.37
12,101.67,89.0,1.91,100.5,100.96,100.45
13,102.19,32.0,1.74,100.6,101.17,100.52
14,101.46,65.0,1.93,100.7,101.29,100.58
15,102.34,59.0,2.3,100.8,101.48,100.65
16,101.46,31.0,1.63,100.9,101.57,100.7
17,102.52,29.0,2.44,101.0,101.75,100.76
18,101.67,9.0,1.26,101.2,101.79,100.8
19,102.41,64.0,2.1,101.3,101.91,100.83
20,102.12,48.0,1.93,103.13,101.97,100.89
21,102.63,37.0,1.93,103.6,102.08,100.92
22,102.08,77.0,1.93,103.7,102.1,100.93
23,102.76,32.0,1.93,103.8,102.21,100.96
24,103.26,20.0,1.93,103.63,102.32,100.99
25,102.71,53.0,1.91,103.73,102.44,101.02
26,103.28,30.0,1.84,103.99,102.53,101.05
27,102.82,66.0,1.93,103.94,102.67,101.11
30,103.58,14.0,1.84,104.04,102.78,101.19
31,103.12,53.0,1.91,104.14,102.92,101.26
32,103.73,42.0,1.93,104.24,103.05,101.35
33,103.53,32.0,1.73,104.43,103.19,101.4
34,103.94,53.0,1.84,104.53,103.32,101.47
35,103.84,27.0,1.38,104.68,103.5,101.52
36,104.13,70.0,1.93,104.78,103.64,101.57
37,103.97,97.0,1.91,104.88,103.71,101.63
38,104.47,50.0,1.93,104.98,103.89,101.68
39,104.27,19.0,1.84,105.5,103.99,101.75
40,104.79,59.0,1.87,105.6,104.19,101.84
41,104.63,94.0,1.93,105.77,104.3,101.91
42,104.86,77.0,1.87,105.87,104.47,101.98
43,105.18,8.0,1.48,105.62,104.62,102.05
44,104.53,69.0,1.91,105.72,104.72,102.16
45,105.26,34.0,1.84,105.82,104.85,102.27
46,104.94,55.0,1.84,105.92,104.96,102.38
47,105.47,15.0,1.91,105.31,105.09,102.5
48,104.81,15.0,1.84,105.73,105.17,102.65
49,105.41,67.0,1.91,105.83,105.26,102.77
50,105.56,69.0,1.93,105.93,105.39,102.9
51,104.98,54.0,1.92,106.03,105.41,102.99
52,105.66,56.0,1.92,106.13,105.51,103.1
53,105.5,35.0,1.91,106.23,105.57,103.21
55,105.86,48.0,1.93,106.33,105.64,103.33
56,105.4,60.0,1.84,106.65,105.73,103.44
57,105.92,43.0,1.73,106.75,105.8,103.55
58,105.71,55.0,1.91,106.85,105.88,103.66
59,106.25,18.0,1.84,106.56,105.96,103.77
60,106.04,67.0,1.91,106.66,106.08,103.88
62,106.54,57.0,1.91,106.76,106.19,103.99
63,106.14,11.0,1.26,106.86,106.25,104.09
64,106.86,28.0,1.87,106.96,106.44,104.2
65,106.28,5.0,1.84,110.03,106.5,104.29
66,106.71,42.0,1.84,109.8,106.62,104.39
67,107.26,39.0,1.91,109.91,106.76,104.5
68,107.44,30.0,1.84,110.02,106.96,104.6
69,107.23,90.0,1.84,110.13,107.09,104.72
70,107.65,43.0,1.91,110.24,107.28,104.83
71,107.54,69.0,1.73,110.35,107.41,104.95
72,107.87,53.0,1.91,110.46,107.59,105.06
73,107.71,89.0,1.84,110.57,107.71,105.18
74,108.04,57.0,1.91,110.68,107.9,105.29
75,107.67,65.0,1.71,111.04,107.98,105.4
76,108.28,55.0,1.92,111.15,108.18,105.51
77,108.18,47.0,1.84,111.26,108.33,105.63
78,108.84,31.0,1.84,111.37,108.49,105.75
79,108.51,39.0,1.63,111.62,108.6,105.86
80,108.81,36.0,1.84,111.73,108.76,105.98
81,108.99,26.0,1.91,111.84,108.89,106.09
82,108.88,49.0,1.91,111.95,109.02,106.21
83,109.18,45.0,1.91,112.19,109.15,106.32
84,108.64,14.0,1.7,112.3,109.24,106.43
85,109.36,37.0,1.99,112.41,109.37,106.54
86,109.21,63.0,1.81,112.67,109.52,106.65
87,109.57,54.0,1.84,112.89,109.65,106.76
88,109.46,38.0,1.71,113.0,109.78,106.87
89,109.91,43.0,1.81,113.11,109.89,106.99
90,109.49,66.0,1.85,113.17,109.99,107.1
91,110.04,45.0,1.84,113.28,110.11,107.21
92,109.93,25.0,1.91,113.39,110.2,107.32
93,110.38,39.0,1.73,113.5,110.35,107.43
94,110.23,67.0,1.91,113.61,110.46,107.54
95,110.39,27.0,1.73,113.72,110.64,107.65
96,110.28,32.0,1.73,113.83,110.73,107.75
97,111.25,3.0,1.84,113.69,110.93,107.88
98,110.7,51.0,1.84,113.8,111.04,107.99
99,111.18,52.0,1.84,114.01,111.21,108.11
100,111.05,35.0,1.7,114.05,111.32,108.22
101,111.42,37.0,1.91,114.16,111.51,108.35
102,111.28,87.0,1.91,114.27,111.63,108.47
103,111.43,43.0,1.91,114.38,111.78,108.59
104,111.31,74.0,1.91,114.49,111.87,108.72
105,111.65,53.0,1.84,114.6,112.01,108.84
106,111.54,68.0,1.84,114.71,112.12,108.96
108,111.89,6.0,1.44,114.73,112.28,109.08
109,111.73,11.0,1.15,115.09,112.33,109.21
110,112.04,53.0,1.91,115.2,112.46,109.33
111,111.68,38.0,1.84,115.09,112.51,109.45
112,112.23,28.0,1.84,115.46,112.63,109.57
113,112.09,68.0,1.84,115.57,112.7,109.69
114,112.42,5.0,1.3,115.68,112.81,109.81
115,112.31,60.0,1.91,115.79,112.9,109.93
116,112.43,58.0,1.91,116.03,113.01,110.04
117,112.33,34.0,1.91,116.14,113.08,110.16
118,112.69,58.0,1.84,116.38,113.2,110.28
119,112.54,45.0,1.91,116.49,113.26,110.39
120,112.98,47.0,1.91,116.6,113.38,110.5
121,112.98,14.0,1.4,116.71,113.47,110.62
122,113.95,0.0,1.27,116.82,113.7,110.75
123,113.19,68.0,2.12,116.93,113.8,110.86
124,113.72,25.0,1.84,116.99,113.96,110.98
125,113.52,30.0,1.84,116.8,114.07,111.1
126,113.9,26.0,1.91,116.91,114.23,111.22
127,113.03,4.0,1.07,117.02,114.29,111.33
128,113.99,41.0,1.97,117.39,114.46,111.44
129,113.62,60.0,1.92,117.36,114.55,111.55
130,114.14,28.0,1.91,117.47,114.71,111.66
131,113.91,56.0,1.91,117.83,114.8,111.77
132,114.28,42.0,1.84,117.95,114.93,111.88
133,113.34,7.0,1.63,117.91,114.87,111.97
134,114.45,21.0,2.17,118.03,115.0,112.08
135,113.79,13.0,1.84,118.1,115.01,112.17
136,114.37,43.0,1.91,118.22,115.1,112.28
137,114.58,30.0,1.84,118.34,115.17,112.38
138,114.26,50.0,1.91,118.46,115.29,112.48
139,114.77,13.0,1.91,118.67,115.37,112.58
140,114.35,17.0,1.91,118.79,115.44,112.68
141,114.99,4.0,1.62,118.91,115.52,112.78
143,114.73,13.0,1.71,118.91,115.6,112.88
144,115.2,50.0,1.84,119.03,115.69,112.98
145,115.03,59.0,1.91,119.16,115.86,113.08
146,115.2,20.0,1.91,119.28,115.94,113.18
147,116.17,1.0,1.21,119.39,116.18,113.3
148,115.4,43.0,2.08,119.51,116.28,113.4
149,116.06,25.0,1.73,119.63,116.43,113.52
150,115.72,35.0,1.91,119.75,116.58,113.61
151,116.24,34.0,1.91,120.74,116.73,113.72
152,115.86,23.0,1.91,121.04,116.88,113.81
153,116.68,11.0,1.73,123.77,117.05,113.92
154,116.32,51.0,1.91,123.89,117.21,114.02
155,117.08,39.0,2.04,124.48,117.4,114.14
156,116.93,57.0,1.84,124.6,117.59,114.25
157,117.84,22.0,2.1,119.49,117.85,114.38
158,117.07,7.0,1.43,119.61,117.94,114.49
159,117.54,54.0,1.85,119.64,118.15,114.61
160,117.87,61.0,1.95,119.76,118.33,114.73
161,117.14,39.0,2.09,119.78,118.47,114.84
162,117.85,24.0,1.84,119.9,118.63,114.96
164,117.35,27.0,1.9,120.02,118.78,115.07
165,118.01,14.0,1.84,120.14,118.91,115.19
166,117.48,63.0,1.91,120.26,119.03,115.3
167,118.02,16.0,1.91,120.38,119.12,115.41
168,117.6,60.0,1.91,120.5,119.19,115.52
169,117.99,44.0,1.84,120.62,119.2,115.63
170,117.78,3.0,0.88,120.74,119.27,115.74
171,118.31,41.0,1.91,120.86,119.35,115.85
172,117.68,17.0,1.91,120.98,119.33,115.95
173,118.74,4.0,2.03,121.1,119.49,116.07
174,118.15,52.0,1.84,121.22,119.52,116.17
175,118.7,39.0,1.91,121.34,119.66,116.26
176,117.97,2.0,1.06,121.46,119.66,116.36
177,118.75,34.0,2.0,123.19,119.79,116.46
178,118.38,54.0,1.84,123.31,119.83,116.56
180,118.86,61.0,2.18,123.43,119.96,116.66
181,118.99,37.0,1.91,123.55,120.06,116.78
182,118.67,40.0,1.85,123.67,120.15,116.87
183,120.02,3.0,1.67,123.79,120.32,117.0
185,119.12,34.0,2.42,123.65,120.46,117.1
186,119.88,16.0,2.0,123.77,120.57,117.22
187,119.43,17.0,1.91,123.89,120.7,117.32
188,120.11,5.0,1.68,124.01,120.84,117.46
189,119.56,22.0,1.91,124.13,121.0,117.56
190,120.39,10.0,1.71,124.1,121.16,117.69
191,119.96,31.0,1.91,124.36,121.32,117.8
192,120.54,3.0,1.51,124.48,121.49,117.92
193,120.42,54.0,1.91,124.6,121.63,118.04
194,120.52,21.0,1.91,124.72,121.82,118.16
195,121.07,28.0,1.84,124.84,121.92,118.29
196,120.5,15.0,1.91,125.34,122.06,118.4
197,121.07,31.0,1.84,125.46,122.18,118.53
198,120.2,3.0,1.84,127.12,122.26,118.63
199,121.21,30.0,2.14,127.24,122.37,118.75
200,121.1,35.0,1.91,127.36,122.52,118.87
201,122.0,6.0,1.82,127.37,122.68,118.99
202,122.71,48.0,1.75,127.49,122.96,119.14
203,123.36,84.0,2.43,127.61,123.24,119.29
204,123.94,97.0,2.74,127.73,123.59,119.45
205,124.52,103.0,2.32,127.85,123.99,119.62
206,125.06,107.0,2.2,127.97,124.39,119.8
207,125.6,107.0,2.34,128.09,124.9,119.98
208,126.13,103.0,2.49,128.47,125.41,120.18
209,126.65,98.0,2.43,128.6,126.06,120.37
210,127.1,91.0,2.37,128.73,126.65,120.57
211,127.56,88.0,2.54,129.48,127.3,120.76
