,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.87,11.0,3.31,100.1,99.3,99.47
2,101.64,42.0,4.28,100.2,99.54,99.55
3,102.13,60.0,4.66,100.3,99.8,99.65
4,101.13,9.0,4.28,100.54,99.97,99.75
5,102.0,35.0,1.94,100.64,100.25,99.87
6,102.51,58.0,1.94,100.74,100.75,99.98
7,101.51,13.0,1.9,100.84,100.97,100.08
8,102.34,37.0,1.94,101.08,101.32,100.21
9,102.99,54.0,1.94,101.18,101.56,100.36
10,102.13,13.0,1.84,100.83,101.77,100.48
11,102.59,48.0,1.94,100.93,102.03,100.62
12,102.95,66.0,1.94,101.34,102.24,100.73
13,103.56,66.0,1.94,101.44,102.43,100.83
14,102.63,5.0,1.85,101.54,102.48,100.92
15,103.39,51.0,1.95,101.34,102.71,101.01
16,103.06,64.0,1.95,101.44,102.82,101.09
17,102.39,26.0,1.85,101.54,102.81,101.15
18,102.97,47.0,1.95,101.64,102.96,101.21
19,103.62,59.0,1.95,101.74,103.09,101.26
20,102.62,2.0,1.48,101.84,103.05,101.33
21,103.2,43.0,1.94,101.94,103.16,101.37
22,102.91,36.0,1.87,101.95,103.19,101.39
23,103.23,43.0,1.87,102.05,103.22,101.43
24,103.98,50.0,1.94,102.15,103.26,101.47
25,102.98,6.0,1.48,102.25,103.3,101.51
26,103.49,36.0,1.94,102.35,103.31,101.55
27,104.25,39.0,1.94,102.45,103.43,101.64
28,103.25,10.0,1.48,102.55,103.52,101.71
29,104.05,30.0,1.94,102.65,103.63,101.8
30,104.48,52.0,1.94,102.75,103.72,101.91
31,103.48,10.0,1.48,102.57,103.81,101.96
32,104.24,33.0,1.94,102.67,103.91,102.04
33,103.85,42.0,1.94,102.77,104.0,102.09
34,104.5,31.0,1.94,102.87,104.13,102.15
35,103.5,11.0,1.49,103.13,104.08,102.2
36,104.36,19.0,1.86,102.81,104.22,102.25
37,104.78,50.0,1.93,102.91,104.35,102.33
52,103.78,3.0,1.2,103.01,104.3,102.4
53,104.36,23.0,1.86,102.92,104.41,102.47
54,105.01,40.0,1.93,103.02,104.51,102.54
59,104.01,1.0,1.2,103.12,104.46,102.59
60,104.6,19.0,1.86,103.24,104.57,102.7
61,105.21,28.0,1.93,103.34,104.67,102.81
71,104.21,1.0,1.2,103.44,104.71,102.91
72,105.04,13.0,1.86,103.54,104.76,103.03
73,105.68,30.0,1.93,103.64,104.98,103.19
74,104.68,3.0,1.2,103.74,105.01,103.3
75,105.6,12.0,1.86,103.84,105.09,103.44
76,104.73,7.0,1.39,103.94,105.18,103.52
77,105.34,12.0,1.86,104.04,105.28,103.63
78,105.99,20.0,1.87,104.14,105.38,103.75
80,104.99,2.0,1.2,104.24,105.48,103.83
81,105.86,9.0,1.86,104.34,105.61,103.91
82,106.37,22.0,1.93,105.2,105.73,103.99
83,105.37,33.0,1.93,105.3,105.85,104.07
84,106.3,1.0,1.72,105.4,105.98,104.16
85,107.23,1.0,1.72,105.5,106.14,104.25
92,106.23,2.0,1.2,105.99,106.3,104.34
93,107.13,7.0,1.86,106.09,106.45,104.44
94,108.0,9.0,1.9,106.19,106.78,104.54
101,107.0,4.0,1.2,106.29,106.95,104.64
102,107.87,7.0,1.86,106.39,107.14,104.75
103,108.38,23.0,1.93,106.49,107.48,104.86
109,107.38,2.0,1.2,106.59,107.63,104.94
110,108.28,9.0,1.86,106.69,107.82,105.05
111,108.64,28.0,1.93,106.79,108.15,105.16
113,107.64,1.0,1.2,106.89,108.28,105.25
114,108.54,8.0,1.86,106.99,108.41,105.37
115,107.67,8.0,1.42,107.09,108.55,105.46
116,108.57,7.0,1.86,106.97,108.69,105.56
117,108.34,25.0,1.93,107.01,108.72,105.67
118,109.24,9.0,1.87,107.11,108.94,105.79
123,108.24,2.0,1.2,107.21,108.98,105.9
124,109.14,8.0,1.95,107.31,109.06,106.02
125,108.24,6.0,1.95,107.41,109.15,106.11
126,109.14,8.0,1.95,107.51,109.24,106.23
127,109.4,34.0,1.95,107.61,109.32,106.35
130,108.4,2.0,1.2,107.71,109.4,106.43
131,109.33,3.0,1.67,107.82,109.48,106.55
132,110.11,20.0,1.93,107.93,109.72,106.67
138,109.11,2.0,1.2,107.79,109.77,106.76
139,110.01,7.0,1.95,107.9,109.94,106.89
140,109.55,29.0,1.95,108.01,109.97,107.0
141,110.03,24.0,1.95,108.12,110.15,107.12
143,109.1,2.0,1.95,108.28,110.15,107.21
144,110.03,4.0,1.95,108.39,110.33,107.34
145,110.3,29.0,1.95,108.5,110.45,107.46
149,109.3,2.0,1.2,108.61,110.44,107.55
161,110.27,3.0,1.2,108.72,110.63,107.68
162,111.03,24.0,1.93,108.83,110.8,107.81
169,110.03,2.0,1.2,109.05,110.79,107.91
170,110.96,3.0,1.95,109.16,110.98,108.05
171,110.01,0.0,1.95,109.27,110.98,108.16
172,110.91,3.0,1.88,109.38,111.12,108.27
