,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.51,48.0,1.99,100.1,99.27,99.46
2,100.65,67.0,2.21,99.78,99.41,99.52
3,100.78,99.0,1.95,99.88,99.54,99.6
4,100.775,74.0,1.88,99.23,99.67,99.7
5,100.6,77.0,1.89,99.33,99.81,99.79
6,101.14,70.0,2.05,99.43,100.17,99.87
7,101.27,81.0,1.84,99.53,100.37,99.96
8,100.82,42.0,1.84,99.63,100.57,100.06
9,101.41,52.0,2.24,99.73,100.65,100.17
10,100.96,41.0,1.84,99.64,100.74,100.27
11,101.5,54.0,2.26,99.74,100.89,100.39
12,101.34,55.0,1.84,99.84,100.97,100.46
13,100.98,39.0,1.98,100.65,101.0,100.5
14,101.8,19.0,2.13,100.75,101.1,100.57
15,101.66,41.0,1.81,100.85,101.19,100.62
16,102.28,34.0,1.81,100.95,101.36,100.69
17,101.4,35.0,1.82,101.05,101.39,100.73
18,102.0,55.0,1.85,101.15,101.46,100.77
19,101.95,44.0,1.82,101.25,101.57,100.79
20,102.12,28.0,1.85,101.35,101.64,100.85
21,102.51,52.0,1.81,101.45,101.8,100.87
22,101.73,50.0,1.79,101.55,101.82,100.87
23,102.42,37.0,1.85,101.58,101.93,100.9
24,102.83,43.0,1.81,101.68,102.12,100.92
25,102.05,27.0,1.7,101.78,102.15,100.94
26,102.82,13.0,1.85,101.88,102.27,100.96
27,103.21,44.0,1.81,101.98,102.36,101.03
28,102.43,45.0,1.79,102.12,102.46,101.08
29,102.89,40.0,1.85,102.36,102.55,101.15
30,103.34,39.0,1.85,102.31,102.69,101.23
31,102.56,32.0,1.79,102.41,102.73,101.26
32,103.24,31.0,1.85,102.51,102.8,101.32
33,103.48,45.0,1.85,100.63,102.98,101.37
34,102.59,14.0,1.85,100.73,103.0,101.39
35,102.44,74.0,2.0,100.83,102.96,101.42
36,102.57,98.0,1.98,100.93,103.01,101.43
37,101.68,12.0,1.67,101.03,102.9,101.45
38,102.37,71.0,2.44,101.13,102.82,101.49
39,102.32,82.0,1.87,101.23,102.81,101.52
40,101.96,43.0,1.84,101.33,102.72,101.53
41,102.32,53.0,1.91,101.38,102.62,101.55
42,101.98,66.0,1.87,101.48,102.56,101.6
43,102.15,51.0,1.95,101.58,102.45,101.65
44,102.46,71.0,1.91,101.7,102.35,101.71
45,102.3,64.0,1.91,101.8,102.32,101.77
46,102.44,81.0,1.95,101.9,102.32,101.87
47,102.5,78.0,1.91,102.0,102.31,101.93
48,102.48,38.0,1.95,101.85,102.39,102.0
