,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.07,56.0,4.57,100.1,99.12,99.43
2,99.12,138.0,4.48,100.2,99.11,99.46
3,99.54,166.0,4.54,100.42,99.11,99.51
4,99.25,129.0,4.55,100.52,99.09,99.58
5,99.37,153.0,3.98,100.62,99.1,99.64
6,99.58,129.0,2.62,100.72,99.31,99.69
7,99.36,90.0,2.41,100.82,99.32,99.74
8,99.28,133.0,2.29,100.92,99.37,99.81
9,99.58,133.0,2.26,101.02,99.26,99.89
10,99.46,133.0,1.98,101.12,99.2,99.96
11,99.22,92.0,1.93,101.25,99.12,100.04
12,99.04,100.0,2.01,101.35,99.12,100.07
13,98.97,103.0,1.92,101.45,99.1,100.07
14,98.89,129.0,1.98,101.55,99.04,100.08
15,98.77,132.0,1.92,101.65,98.99,100.07
16,98.62,90.0,1.93,101.5,98.92,100.06
17,98.54,120.0,1.93,101.6,98.82,100.04
18,98.32,74.0,1.93,101.7,98.72,100.01
19,98.0,72.0,1.96,101.91,98.59,99.95
20,97.86,76.0,2.1,102.01,98.42,99.92
21,97.41,31.0,2.09,102.11,98.22,99.84
22,97.52,91.0,2.06,102.21,98.05,99.75
23,97.43,82.0,1.95,102.62,97.89,99.68
24,96.76,22.0,1.91,102.72,97.67,99.58
25,96.93,69.0,2.17,102.85,97.47,99.49
26,96.79,70.0,1.95,102.95,97.27,99.39
27,96.64,57.0,1.95,103.05,97.07,99.33
28,96.52,36.0,1.73,103.16,96.87,99.27
29,96.44,37.0,1.57,106.54,96.68,99.21
30,96.29,22.0,1.73,106.64,96.51,99.15
31,96.14,9.0,1.01,106.74,96.34,99.05
32,96.26,34.0,1.59,106.84,96.22,98.97
33,96.21,54.0,1.93,106.94,96.09,98.87
34,95.9,16.0,1.73,107.04,95.94,98.75
35,95.85,57.0,1.95,107.14,95.85,98.65
36,95.76,23.0,1.73,107.24,95.73,98.53
37,95.64,4.0,0.86,107.34,95.62,98.43
38,95.57,41.0,1.95,107.66,95.51,98.33
39,95.43,44.0,1.95,107.77,95.4,98.22
40,95.34,12.0,1.46,107.88,95.29,98.1
41,95.25,5.0,0.68,107.99,95.19,97.97
42,95.11,35.0,1.95,108.1,95.09,97.89
43,95.41,47.0,1.93,108.21,95.0,97.81
44,95.35,38.0,1.93,108.32,94.91,97.73
45,95.77,41.0,1.78,106.93,94.9,97.66
46,95.46,27.0,1.91,107.03,94.86,97.62
47,95.37,1.0,0.2,107.13,94.82,97.54
48,95.43,31.0,1.91,107.23,94.8,97.47
49,94.49,2.0,1.11,110.53,94.69,97.35
50,94.91,24.0,2.02,110.81,94.64,97.25
51,94.77,23.0,1.93,110.92,94.58,97.15
52,94.68,10.0,1.79,111.03,94.52,97.06
53,94.49,15.0,1.88,111.14,94.46,96.97
54,94.55,30.0,2.07,111.25,94.37,96.87
55,94.96,39.0,1.95,111.36,94.33,96.78
