,id,stock,bal,acc,flavour
0,id0,98,103.5800000000022,12627.980000000001,arb
1,id1,62,3474.38,11397.98,arb
2,id2,89,216.19000000000125,11590.39,arb
3,id3,99,16.080000000004503,12668.280000000004,arb
4,id4,98,66.99000000000272,12591.390000000003,arb
5,id5,98,4.180000000007851,12528.580000000007,arb
6,id6,94,3.9099999999920527,12017.109999999991,arb
7,id7,24,7934.229999999993,11001.429999999993,arb
8,id8,98,2.6900000000070463,12527.090000000007,arb
9,id9,47,5316.539999999997,11323.139999999996,arb
10,id10,98,10.53000000000641,12534.930000000006,arb
11,id11,39,6133.530000000003,11117.730000000003,arb
12,id12,65,3134.370000000001,11441.37,arb
13,id13,93,119.9499999999965,12005.349999999997,arb
14,id14,98,89.95000000000361,12614.350000000004,arb
15,id15,69,2536.9700000000016,11355.17,arb
16,id16,98,52.02999999999996,12576.43,arb
17,id17,96,13.430000000000462,12282.23,arb
18,id18,98,37.789999999999395,12562.189999999999,arb
19,id19,98,44.85000000000247,12569.250000000002,arb
20,id20,52,4382.279999999999,11027.879999999997,arb
21,id21,92,7.759999999991365,11765.359999999991,arb
22,id22,86,588.5999999999975,11579.399999999996,arb
23,id23,97,7.210000000001614,12403.810000000001,arb
24,id24,99,16.430000000003332,12668.630000000003,arb
25,id25,49,5143.499999999998,11405.699999999997,arb
26,id26,98,13.250000000005102,12537.650000000005,arb
27,id27,50,5000.0,11390.0,arb
28,id28,81,1252.0500000000009,11603.85,arb
29,id29,91,12.439999999998378,11642.239999999998,arb
30,id30,67,2886.170000000001,11448.77,arb
31,id31,51,4899.630000000001,11417.43,arb
32,id32,26,7780.6300000000065,11103.430000000006,arb
33,id33,98,92.79000000000427,12617.190000000004,arb
34,id34,99,24.750000000002743,12676.950000000003,arb
35,id35,67,2886.170000000001,11448.77,arb
36,id36,96,88.27000000000096,12357.07,arb
37,id37,93,17.829999999993348,11903.229999999992,arb
38,id38,98,81.79000000000438,12606.190000000004,arb
39,id39,73,2148.830000000001,11478.23,arb
40,id40,89,494.22999999999405,11868.429999999993,arb
41,id41,40,6007.139999999999,11119.14,arb
42,id42,38,6206.859999999999,11063.259999999998,chart
43,id43,36,6409.119999999999,11009.919999999998,chart
44,id44,31,6911.529999999998,10873.329999999998,chart
45,id45,12,9568.599999999991,11102.199999999992,arb
46,id46,35,6510.089999999999,10983.09,chart
47,id47,87,60.21000000000578,11178.810000000007,arb
48,id48,38,6206.859999999999,11063.259999999998,chart
49,id49,87,35.1599999999998,11153.76,arb
50,id50,33,6709.489999999998,10926.889999999998,chart
51,id51,35,6510.709999999999,10983.71,chart
52,id52,88,30.640000000004022,11277.040000000005,arb
